Region,Total_Property_Count,Region_Median_Weekly_Price
Ballarat,115,400.0
Bendigo,76,535.0
Geelong,115,500.0
Inner Eastern Melbourne,416,730.0
Inner Melbourne,1397,620.0
Mornington Peninsula,81,590.0
North Eastern Melbourne,232,600.0
North Western Melbourne,343,540.0
Other Regional Centres,350,490.0
Outer Eastern Melbourne,95,630.0
Outer Western Melbourne,387,530.0
South Eastern Melbourne,186,570.0
Southern Melbourne,161,795.0
Unknown Region,2640,530.0
