Region,Suburb,Property_Count,Median_Weekly_Price
Ballarat,Alfredton,1,300.0
Ballarat,Ballarat Central,7,380.0
Ballarat,Lake Wendouree,4,415.0
Ballarat,Sebastopol,6,426.5
Ballarat,Wendouree,7,325.0
Bendigo,Bendigo,9,430.0
Bendigo,Golden Point,1,370.0
Bendigo,Golden Square,1,460.0
Geelong,Belmont,5,360.0
Geelong,Corio,4,370.0
Geelong,Geelong,27,520.0
Geelong,Grovedale,8,415.0
Geelong,Lara,2,375.0
Geelong,Newtown,8,420.0
Inner Eastern Melbourne,Ashburton,2,732.5
Inner Eastern Melbourne,Balwyn,10,600.0
Inner Eastern Melbourne,Blackburn,8,425.0
Inner Eastern Melbourne,Bulleen,7,495.0
Inner Eastern Melbourne,Burwood,21,385.0
Inner Eastern Melbourne,Camberwell,28,605.0
Inner Eastern Melbourne,Canterbury,7,595.0
Inner Eastern Melbourne,Chadstone,9,580.0
Inner Eastern Melbourne,Clayton,48,500.0
Inner Eastern Melbourne,Doncaster,29,620.0
Inner Eastern Melbourne,Donvale,2,597.5
Inner Eastern Melbourne,Endeavour Hills,2,520.0
Inner Eastern Melbourne,Glen Huntly,9,500.0
Inner Eastern Melbourne,Glen Iris,33,515.0
Inner Eastern Melbourne,Glen Waverley,17,650.0
Inner Eastern Melbourne,Hawthorn,76,513.0
Inner Eastern Melbourne,Kew,32,577.5
Inner Eastern Melbourne,Mitcham,12,507.5
Inner Eastern Melbourne,Mount Eliza,1,540.0
Inner Eastern Melbourne,Mount Helen,1,320.0
Inner Eastern Melbourne,Mount Martha,2,610.0
Inner Eastern Melbourne,Mount Pleasant,1,330.0
Inner Eastern Melbourne,Mount Waverley,7,650.0
Inner Eastern Melbourne,Mulgrave,2,460.0
Inner Eastern Melbourne,Nunawading,10,500.0
Inner Eastern Melbourne,Oakleigh,9,620.0
Inner Eastern Melbourne,Surrey Hills,6,532.5
Inner Eastern Melbourne,Templestowe,4,560.0
Inner Eastern Melbourne,Templestowe Lower,3,530.0
Inner Eastern Melbourne,Vermont,1,475.0
Inner Eastern Melbourne,White Hills,1,320.0
Inner Melbourne,Abbotsford,52,660.0
Inner Melbourne,Airport West,4,510.0
Inner Melbourne,Albert Park,3,585.0
Inner Melbourne,Altona North,5,400.0
Inner Melbourne,Armadale,26,562.5
Inner Melbourne,Ballarat East,3,340.0
Inner Melbourne,Balwyn North,9,550.0
Inner Melbourne,Bell Park,5,430.0
Inner Melbourne,Bell Post Hill,1,420.0
Inner Melbourne,Bentleigh East,11,580.0
Inner Melbourne,Black Hill,2,407.5
Inner Melbourne,Blackburn North,1,475.0
Inner Melbourne,Blackburn South,2,562.5
Inner Melbourne,Box Hill,100,600.0
Inner Melbourne,Box Hill North,5,585.0
Inner Melbourne,Box Hill South,2,565.0
Inner Melbourne,Briar Hill,1,430.0
Inner Melbourne,Brighton East,2,662.5
Inner Melbourne,Brown Hill,2,345.0
Inner Melbourne,Brunswick East,50,600.0
Inner Melbourne,Brunswick West,46,500.0
Inner Melbourne,Burnley,1,480.0
Inner Melbourne,Burwood East,11,590.0
Inner Melbourne,Carlton,147,575.0
Inner Melbourne,Carlton North,11,570.0
Inner Melbourne,Caulfield East,6,470.0
Inner Melbourne,Caulfield North,52,577.5
Inner Melbourne,Caulfield South,11,475.0
Inner Melbourne,Clayton South,14,510.0
Inner Melbourne,Clifton Hill,4,575.0
Inner Melbourne,Clifton Springs,1,440.0
Inner Melbourne,Collingwood,41,630.0
Inner Melbourne,Cranbourne North,1,525.0
Inner Melbourne,Croydon North,1,470.0
Inner Melbourne,Dandenong North,6,445.0
Inner Melbourne,Dandenong South,1,330.0
Inner Melbourne,Deer Park,1,280.0
Inner Melbourne,Docklands,171,680.0
Inner Melbourne,Doncaster East,19,560.0
Inner Melbourne,East Bairnsdale,1,340.0
Inner Melbourne,East Geelong,3,350.0
Inner Melbourne,East Melbourne,30,640.0
Inner Melbourne,Elwood,56,550.0
Inner Melbourne,Essendon North,21,490.0
Inner Melbourne,Essendon West,1,570.0
Inner Melbourne,Fitzroy,24,632.5
Inner Melbourne,Fitzroy North,20,615.0
Inner Melbourne,Flemington,31,550.0
Inner Melbourne,Flora Hill,2,392.5
Inner Melbourne,Forest Hill,3,625.0
Inner Melbourne,Frankston North,2,324.0
Inner Melbourne,Frankston South,1,600.0
Inner Melbourne,Geelong West,6,345.0
Inner Melbourne,Hampton East,4,517.5
Inner Melbourne,Hampton Park,1,460.0
Inner Melbourne,Hawthorn East,50,550.0
Inner Melbourne,Heidelberg West,2,577.5
Inner Melbourne,Herne Hill,3,390.0
Inner Melbourne,Invermay Park,1,360.0
Inner Melbourne,Ivanhoe East,2,445.0
Inner Melbourne,Keilor East,4,590.0
Inner Melbourne,Kensington,26,606.5
Inner Melbourne,Kew East,1,495.0
Inner Melbourne,Malvern East,46,525.0
