Region,Total_Property_Count,Region_Median_Weekly_Price
Ballarat,6,410.0
Bendigo,10,435.0
Geelong,26,540.0
Inner Eastern Melbourne,136,780.0
Inner Melbourne,402,750.0
Mornington Peninsula,15,690.0
North Eastern Melbourne,122,620.0
North Western Melbourne,117,600.0
Other Regional Centres,30,480.0
Outer Eastern Melbourne,36,665.0
Outer Western Melbourne,80,670.0
South Eastern Melbourne,30,580.0
Southern Melbourne,65,925.0
Unknown Region,274,562.5
