Address,Distance to Nearest Park,Nearest Park,Park Quality,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude
"19 Tennyson Street, Norlane VIC 3214",1.892209426,Fountain of Friendship Park,Poor Park,3,1,1,House,390,-38.0966747,144.3587107
"22 Carpenter Street, Wendouree VIC 3355",1.038128524,Pioneer Park,Poor Park,3,2,6,House,385,-37.5233295,143.8337074
"8/36 Adelaide Street, Albion VIC 3020",3.231935361,Cairnlea Park,Poor Park,2,1,1,House,380,-37.7812666,144.8197418
"837 Humffray Street South, Mount Pleasant VIC 3350",1.692969018,Sturt Street Gardens,Poor Park,2,1,2,House,370,-37.5762541,143.8509838
"14 Taunton Street, Sunshine VIC 3020",4.787599708,Cairnlea Park,Poor Park,2,1,2,House,390,-37.7830559,144.8409661
"25 Malmesbury Street, Wendouree VIC 3355",0.9858501,Pioneer Park,Poor Park,3,1,2,House,400,-37.5251767,143.8318032
"118 SWEENEYS ROAD, Dumbalk VIC 3956",6.937998465,Meeniyan Park,Poor Park,3,2,2,House,400,-38.5422394,146.0788
"2/14 Aquila Court, Ballarat North VIC 3350",0.672880225,Peel Street Park,Poor Park,2,1,1,House,310,-37.5435274,143.8687719
"9/70 Chute Street, Mordialloc VIC 3195",6.511845925,Riverend Park PTY Ltd.,Poor Park,1,1,1,House,330,-38.0036845,145.0939644
"68 Grand Ridge West, Mirboo North VIC 3871",17.13073432,Allambee Gardens,Poor Park,3,1,1,House,400,-38.3938147,146.1444048
"1/228 Albert St, Sebastopol VIC 3356",2.635740923,Morshead Park,Poor Park,2,1,1,House,370,-37.601047,143.8406886
"13a Foam Street, Rosebud VIC 3939",3.35862573,Seawinds Gardens,Good Park,1,1,0,House,295,-38.3594917,144.9083172
"513 Thompson Road, Norlane VIC 3214",0.772252716,Fountain of Friendship Park,Poor Park,3,1,2,House,340,-38.0926428,144.3466438
"204 Talbot Street South, Ballarat Central VIC 3350",0.835582056,Sturt Street Gardens,Poor Park,2,2,2,House,400,-37.564898,143.8418001
"3/34 Douglass Street, Herne Hill VIC 3218",1.623364717,Sparrow Park,Poor Park,1,1,1,House,350,-38.131764,144.326379
"7 Vale Street, Sebastopol VIC 3356",2.968603427,Morshead Park,Poor Park,3,2,1,House,400,-37.604722,143.8391477
"9 Parton Place, Craigieburn VIC 3064",16.64308356,Organ Pipes National Park,Average Park,1,1,1,House,375,-37.6103642,144.9404833
"1 Merlow Street, Albion VIC 3020",2.718140603,Cairnlea Park,Poor Park,2,1,2,House,350,-37.7797648,144.8126704
"104 Twelfth Street, Mildura VIC 3500",251.7309587,Schneider Gardens,Poor Park,3,1,1,House,380,-34.1929323,142.1584077
"5/35 Fyans Street, South Geelong VIC 3220",1.434521289,Barwon Valley Park,Average Park,1,1,1,House,280,-38.16092,144.35334
"4/290 Humffray Street North, Brown Hill VIC 3350",1.616643645,Ballarat Community Garden,Poor Park,3,1,2,House,400,-37.5540266,143.8944692
"1/12 Staverly Road, Herne Hill VIC 3218",1.388827058,Sparrow Park,Poor Park,2,1,1,House,380,-38.1329383,144.3286153
"56 Maple Avenue, Wendouree VIC 3355",0.937898264,Pioneer Park,Poor Park,3,1,3,House,350,-37.5284732,143.822374
"21 Margaret Street, Wendouree VIC 3355",1.261382055,Pioneer Park,Poor Park,3,1,2,House,350,-37.5304931,143.8282525
