Address,Distance to Nearest Park,Nearest Park,Park Quality,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude
"10 Durlston Street, Point Cook VIC 3030",1.74082041,Point Cook Coastal Park,Poor Park,4,2,2,House,560,-37.902822,144.7565017
"28 Neville Drive, Rye VIC 3941",1.827342897,Blairgowrie Caravan Park,Poor Park,3,2,2,House,590,-38.3697506,144.8029804
"4 Logan Court, Mount Helen VIC 3350",6.251521222,NRMA Ballarat Holiday Park,Average Park,4,2,2,House,600,-37.6289012,143.8738292
"113 Somerville Road, Hampton Park VIC 3976",6.530585536,Wilson Botanic Park Berwick,Good Park,4,2,2,House,600,-38.0312312,145.2623303
"10 Senna Circuit, Ocean Grove VIC 3226",1.863439332,Bellarine Park,,4,2,2,House,580,-38.2403236,144.5411918
"55A Spring Street, Preston VIC 3072",3.120104993,Hayes Park,Poor Park,3,2,1,House,600,-37.732594,144.999931
"196 South Valley Road, Highton VIC 3216",3.448413108,Barwon Valley Park,Average Park,4,2,2,House,560,-38.1903416,144.3148454
"12 Silkwood Close, Highton VIC 3216",4.059100353,Barwon Valley Park,Average Park,4,2,2,House,570,-38.1968002,144.3147202
"3 Sydney Wy., Alfredton VIC 3350",2.498120658,Ballarat Botanical Gardens,Good Park,4,2,2,House,570,-37.5536245,143.7943444
"25 Bakanovi Drive, Truganina VIC 3029",10.64164964,Cairnlea Park,Poor Park,4,2,2,House,565,-37.7611951,144.674333
"9 Tormorvey Avenue, Hillside VIC 3037",2.640945617,Organ Pipes National Park,Average Park,4,2,2,House,560,-37.6882017,144.7512151
"12A Barak Court, Oak Park VIC 3046",8.498716218,Princes Park,Poor Park,3,2,2,House,590,-37.713895,144.9258673
"8 Somers Street, Cranbourne East VIC 3977",10.08327291,Moonlit Sanctuary Wildlife Conservation Park,Good Park,4,2,2,House,580,-38.1277365,145.2963187
"16 Springleaf Road, Tarneit VIC 3029",5.154621078,Shoestring Gardening,Poor Park,4,2,3,House,560,-37.8591204,144.6617872
"20 Edenvale Boulevard, Wollert VIC 3750",15.27899846,Hayes Park,Poor Park,4,2,2,House,600,-37.6197072,145.0124875
"19 HARWICH STREET, Rockbank VIC 3335",5.669569753,Friends Of The Melton Botanic Garden,Poor Park,4,2,2,House,570,-37.7224745,144.6400982
"295 Blackburn Road, Burwood East VIC 3151",4.322753462,Wattle Park,Poor Park,4,2,2,House,570,-37.8467666,145.1536979
"16 Rathmullen Quadrant, Doncaster VIC 3108",3.197417984,Bimbadeen Park,Poor Park,3,2,2,House,580,-37.7841111,145.1223358
"8 Verdant Drive, Donnybrook VIC 3064",11.11605528,Whittlesea Park,Poor Park,4,2,2,House,600,-37.5326943,145.001884
"33 Kandra Street, Dandenong North VIC 3175",4.412583526,Churchill National Park,Average Park,4,2,2,House,600,-37.959852,145.2019926
"24 Khan Boulevard, Clyde North VIC 3978",8.906852982,Wilson Botanic Park Berwick,Good Park,4,2,2,House,575,-38.1074126,145.3443306
"44 Tranquility Crescent, Armstrong Creek VIC 3217",7.690189033,Barwon Valley Park,Average Park,4,2,2,House,595,-38.2263676,144.3787505
"5 Dawley Circuit, Werribee VIC 3030",2.766159406,Shoestring Gardening,Poor Park,4,2,3,House,560,-37.9126368,144.6025985
"7 Terra Firma Circuit, Clyde VIC 3978",10.40707328,Wilson Botanic Park Berwick,Good Park,4,2,2,House,580,-38.1210998,145.3338528
"2 Bottlebrush Drive, Hoppers Crossing VIC 3029",6.65583468,Shoestring Gardening,Poor Park,4,2,2,House,560,-37.8592939,144.6840524
"80 Elsie Jones Dr, Mooroopna VIC 3629",1.460561035,Aspen Lodge Caravan Park,Poor Park,4,2,0,House,595,-36.393557,145.3456798
"44 PIONEER WAY, Officer VIC 3809",6.625857883,Wilson Botanic Park Berwick,Good Park,4,2,3,House,580,-38.0613182,145.3990708
"41 Spring Street, Hastings VIC 3915",1.554581944,Warringine Park,Poor Park,4,2,2,House,600,-38.3111025,145.1893318
"34 Finnegan Way, Officer VIC 3809",6.809235543,Wilson Botanic Park Berwick,Good Park,4,2,2,House,600,-38.0645009,145.398736
"34 Wembley Drive, Berwick VIC 3806",1.265979434,Wilson Botanic Park Berwick,Good Park,3,2,2,House,580,-38.0168101,145.3318905
"1733 Geelong Road, Mount Helen VIC 3350",5.35108883,NRMA Ballarat Holiday Park,Average Park,4,2,2,House,560,-37.6205506,143.8779736
"5 Maradona Boulevard, Deanside VIC 3336",7.863464625,Organ Pipes National Park,Average Park,4,2,2,House,575,-37.7228683,144.7102728
"25 Little Street, Daylesford VIC 3460",1.069336673,Wombat Hill Botanic Gardens,Average Park,3,2,1,House,585,-37.3341871,144.1461804
"39 Goolgowie Street, Rosebud VIC 3939",0.894160568,Peninsula Gardens Bushland Reserve.,Poor Park,4,2,2,House,590,-38.3836611,144.9246069
"10 Latifolium Street, Donnybrook VIC 3064",12.34478663,Whittlesea Park,Poor Park,4,2,2,House,570,-37.5400341,144.9897331
"204 Seymour Street, Soldiers Hill VIC 3350",0.55231162,Walter J. Jones Memorial Park,Poor Park,3,3,3,House,560,-37.5555741,143.8600935
"28 Jedda Street, Bell Post Hill VIC 3215",1.005091024,Fountain of Friendship Park,Poor Park,5,3,2,House,600,-38.0993033,144.3306616
"13 Emmanue Street, Deanside VIC 3336",9.166734674,Cairnlea Park,Poor Park,4,3,2,House,580,-37.7347164,144.6959353
"8 Ottawa Walk, Cranbourne West VIC 3977",9.511004233,Bunarong Park,Poor Park,3,2,2,House,580,-38.1113863,145.2491369
"16 Andante Crescent, Clyde VIC 3978",12.10648899,Wilson Botanic Park Berwick,Good Park,4,2,2,House,580,-38.1343148,145.3637522
"13 Vesper Avenue, Tarneit VIC 3029",7.660674826,Shoestring Gardening,Poor Park,4,2,2,House,580,-37.835021,144.6692424
"92 Panaia Boulevard, Truganina VIC 3029",10.17366012,Friends Of The Melton Botanic Garden,Poor Park,4,2,2,House,560,-37.7521293,144.6751302
"29 Ferguson Drive, Tarneit VIC 3029",7.063686114,Shoestring Gardening,Poor Park,4,2,2,House,570,-37.8326911,144.6485099
"21 Overture Street, Clyde VIC 3978",12.59927376,Wilson Botanic Park Berwick,Good Park,3,2,2,House,600,-38.1378989,145.3693414
"55 Breamlea Way, Cranbourne West VIC 3977",10.65075614,Wilson Botanic Park Berwick,Good Park,3,2,2,House,600,-38.0992959,145.2561634
"5 Palomino Avenue, Clyde North VIC 3978",9.000371061,Wilson Botanic Park Berwick,Good Park,3,2,1,House,590,-38.107973,145.3252912
"56 Myers Street, Bendigo VIC 3550",0.536583805,Civic Garden at Town Hall,Poor Park,3,2,0,House,570,-36.758958,144.2872243
"14/Amukta road, Truganina VIC 3029",10.59239477,Cairnlea Park,Poor Park,4,2,2,House,560,-37.7605734,144.6748825
"28 Cart Road, Fraser Rise VIC 3336",6.129074454,Organ Pipes National Park,Average Park,4,2,2,House,560,-37.7036279,144.7132266
"38 Mindil Street, Armstrong Creek VIC 3217",6.955928579,Barwon Valley Park,Average Park,4,2,2,House,590,-38.2272829,144.3469518
"4 Wollert Street, Rye VIC 3941",3.001776326,Blairgowrie Caravan Park,Poor Park,3,2,2,House,600,-38.3803749,144.8117334
"1 Clelland Way, Clyde North VIC 3978",9.785420882,Wilson Botanic Park Berwick,Good Park,4,2,2,House,570,-38.1116851,145.3694518
"5 Lamington Drive, Tarneit VIC 3029",6.754988444,Shoestring Gardening,Poor Park,4,2,2,House,600,-37.8372977,144.6533915
"19 Blackwood Crescent, Yarrawonga VIC 3730",66.0595277,Shepparton Holiday Park and Village,Poor Park,4,2,2,House,600,-36.0174954,146.0167865
"3 Smethurst Road, Tarneit VIC 3029",9.501138421,Shoestring Gardening,Poor Park,4,2,2,House,590,-37.8216896,144.6816947
"11 Airedale Avenue, Tarneit VIC 3029",4.912248142,Shoestring Gardening,Poor Park,4,2,2,House,575,-37.854945,144.6506247
"27 Bronzewing Street, Williams Landing VIC 3027",4.948690511,Altona Green Park,Poor Park,4,2,2,House,595,-37.8562155,144.7414502
"52 Yann Drive, Wollert VIC 3750",15.52357349,Whittlesea Park,Poor Park,3,2,2,House,570,-37.6083057,144.9974369
"22 Hilda Street, Tarneit VIC 3029",7.183881982,Shoestring Gardening,Poor Park,4,2,4,House,600,-37.8408273,144.6702193
"1/50 Elder Street, Watsonia VIC 3087",4.811881515,Heide Park,Poor Park,3,2,1,House,580,-37.7135238,145.0881842
"30 James Street, Port Fairy VIC 3284",0.585182628,Southcombe Caravan Park,Poor Park,4,2,2,House,600,-38.3839105,142.2340197
"3 Whyalla Gardens, Tarneit VIC 3029",6.949401206,Shoestring Gardening,Poor Park,4,2,0,House,595,-37.8463421,144.6744228
"19 Hackney Way, Kalkallo VIC 3064",14.39087397,Whittlesea Park,Poor Park,4,2,2,House,600,-37.5323838,144.9640756
"5 Walhallow Drive, Clyde North VIC 3978",9.679781165,Wilson Botanic Park Berwick,Good Park,4,2,2,House,580,-38.1142971,145.3457562
"33A Pallett Street, Golden Square VIC 3555",1.425172995,Long Gully Community Garden,Poor Park,3,2,1,House,580,-36.764724,144.2515552
"1/106 Asbury Street East, Ocean Grove VIC 3226",0.297527539,Ocean Grove Park,Poor Park,3,2,1,House,600,-38.2637124,144.5267837
"22 Murphy Street, Bendigo VIC 3550",1.422271856,Civic Garden at Town Hall,Poor Park,3,2,4,House,570,-36.7602216,144.297542
"66 Madura Promenade, Mickleham VIC 3064",18.39885382,Organ Pipes National Park,Average Park,4,2,2,House,600,-37.5360384,144.8927015
"31 Leda Drive, Tarneit VIC 3029",8.878980278,Shoestring Gardening,Poor Park,4,2,2,House,570,-37.8394776,144.6966341
"23 Egremont Avenue, Tarneit VIC 3029",8.593077939,Shoestring Gardening,Poor Park,4,2,2,House,600,-37.8206539,144.6573907
"66 Waves Drive, Point Cook VIC 3030",2.3929676,Point Cook Coastal Park,Poor Park,4,2,2,House,570,-37.9162677,144.7824214
"5 Strong View, Fraser Rise VIC 3336",6.664472512,Organ Pipes National Park,Average Park,4,2,2,House,580,-37.7033888,144.7051616
"158 Ninth Street, Mildura VIC 3500",252.7717339,Schneider Gardens,Poor Park,3,2,1,House,600,-34.1835356,142.1576256
"21 Sedgefield Avenue, Truganina VIC 3029",5.767999271,Altona Green Park,Poor Park,3,2,2,House,600,-37.8448478,144.743585
"10 Pitman Court, Hampton Park VIC 3976",7.27690919,Wilson Botanic Park Berwick,Good Park,3,2,5,House,600,-38.033277,145.2539809
"6 Butty Street, Wonthaggi VIC 3995",2.712990745,Wonthaggi Community Garden,Poor Park,4,2,2,House,560,-38.5991363,145.6117254
"10 Maria Court, Cranbourne North VIC 3977",7.170926277,Wilson Botanic Park Berwick,Good Park,4,2,2,House,600,-38.079361,145.2880042
"120 Crossway Avenue, Tarneit VIC 3029",8.183242839,Shoestring Gardening,Poor Park,4,2,2,House,560,-37.8365233,144.6815812
"14 Lucania Crescent, Tarneit VIC 3029",9.938443887,Cairnlea Park,Poor Park,4,2,2,House,580,-37.8097485,144.7018371
"15 Twakurra Street, Rye VIC 3941",3.758899626,Beachside Garden and Property Maintenance,Poor Park,3,2,3,House,595,-38.3854408,144.8208766
"101 Butterfly Boulevard, Tarneit VIC 3029",5.527643718,Shoestring Gardening,Poor Park,4,2,2,House,570,-37.8523944,144.6583121
"41 Margie Street, Wyndham Vale VIC 3024",2.632061741,Shoestring Gardening,Poor Park,4,4,2,House,560,-37.86967,144.6294624
"4 Seville Court, Meadow Heights VIC 3048",13.87766184,Hayes Park,Poor Park,4,2,2,House,600,-37.6555989,144.9254439
"26 Maslin Walk, Point Cook VIC 3030",2.027643969,Point Cook Coastal Park,Poor Park,4,2,2,House,600,-37.9002643,144.7535495
"37 Cleveland Drive, Hoppers Crossing VIC 3029",5.124331089,Shoestring Gardening,Poor Park,4,2,5,House,595,-37.8651883,144.6680004
"25 Sanctuary Boulevard, Maiden Gully VIC 3551",4.845121668,Long Gully Splash Park,Poor Park,4,2,2,House,600,-36.7497004,144.2022954
"50A Highview Drive, Mooroolbark VIC 3138",4.95677931,Lilydale Memorial Park,Poor Park,3,2,1,House,590,-37.7721142,145.3109074
"24 Athenaeum Avenue, Clyde North VIC 3978",11.05174341,Wilson Botanic Park Berwick,Good Park,4,2,2,House,595,-38.1217692,145.37688
"14 Spirit Boulevard, Cranbourne East VIC 3977",8.129761322,Wilson Botanic Park Berwick,Good Park,3,2,2,House,560,-38.0939479,145.297913
"3 Imatra Loop, Tarneit VIC 3029",9.314465965,Shoestring Gardening,Poor Park,4,2,2,House,580,-37.8142298,144.6591566
"26 Leeward Drive, Tarneit VIC 3029",4.136588438,Shoestring Gardening,Poor Park,4,2,2,House,570,-37.8614328,144.6470581
"16 Camden Street, Lucknow VIC 3875",80.40026695,Wallaby Rise Bush Camping Park,Poor Park,4,2,2,House,560,-37.8035186,147.652849
"22 Tivoli Way, Mickleham VIC 3064",18.9425508,Organ Pipes National Park,Average Park,3,2,2,House,560,-37.5314821,144.8953307
"9 Kenora Way, Mickleham VIC 3064",18.55438833,Organ Pipes National Park,Average Park,4,2,2,House,580,-37.5372142,144.8974597
"11 Railway Avenue, Donnybrook VIC 3064",14.22710969,Whittlesea Park,Poor Park,4,2,2,House,600,-37.5419068,144.968326
"38 Morcambe Crescent, Keilor Downs VIC 3038",4.935999244,Cairnlea Park,Poor Park,3,2,2,House,600,-37.7161041,144.8071579
"27 Pharaoh Drive, Cranbourne VIC 3977",8.253651001,Wilson Botanic Park Berwick,Good Park,4,2,2,House,600,-38.0913978,145.2886973
"46 Serenity Way, South Morang VIC 3752",11.26749982,Westerfolds Park,Good Park,3,2,1,House,560,-37.6499026,145.0970151
"163 Mary Street, Officer VIC 3809",9.213111366,Wilson Botanic Park Berwick,Good Park,4,2,2,House,570,-38.0761039,145.4219887
"52 Edgar Avenue, Cranbourne South VIC 3977",8.196674622,Bunarong Park,Poor Park,3,2,1,House,560,-38.1249283,145.2413891
"12 Fowler Place, Aintree VIC 3336",7.339663912,Friends Of The Melton Botanic Garden,Poor Park,4,2,0,House,600,-37.7180375,144.6668131
"5 Stint Street, Tarneit VIC 3029",6.92540775,Shoestring Gardening,Poor Park,4,2,2,House,580,-37.832608,144.6431759
"24 Meadowcroft Drive, Truganina VIC 3029",6.352694028,Altona Green Park,Poor Park,4,2,2,House,560,-37.845769,144.7320127
"43 Magnetic Drive, Mount Duneed VIC 3217",6.368938396,Barwon Valley Park,Average Park,3,2,2,House,570,-38.2223203,144.3336285
"3 Chartwell Avenue, Truganina VIC 3029",6.013235072,Altona Green Park,Poor Park,4,2,2,House,580,-37.8436401,144.7409779
"9 Etherington Drive, Mildura VIC 3500",254.2842294,Schneider Gardens,Poor Park,4,2,2,House,580,-34.1695193,142.1457046
"9 Arcadia Crescent, Leongatha VIC 3953",1.940457299,Mcindoe Park Playground,Poor Park,4,2,2,House,600,-38.4899234,145.9565249
"40 Folger Road, Craigieburn VIC 3064",15.55884404,Organ Pipes National Park,Average Park,4,2,1,House,580,-37.5847432,144.9082731
"22 Maroubra Street, Armstrong Creek VIC 3217",7.894386713,Barwon Valley Park,Average Park,4,2,2,House,600,-38.2361115,144.3355382
"7A Fisher Street, Maidstone VIC 3012",6.842523797,Princes Park,Poor Park,3,2,0,House,600,-37.7786296,144.883932
"5/8 Evelyn Street, Clayton VIC 3168",6.076219572,Outer Circle Linear Park,Poor Park,3,2,1,House,575,-37.918352,145.1317541
"35 Lasio Way, Donnybrook VIC 3064",12.22066266,Whittlesea Park,Poor Park,4,2,2,House,600,-37.5379751,144.9905383
"2 Lynnwood Drive, Mickleham VIC 3064",18.93346952,Whittlesea Park,Poor Park,4,2,2,House,570,-37.5200118,144.9108254
"2-4 Hamilton Street, Corinella VIC 3984",8.000548289,Maru Koala and Animal Park,Average Park,3,2,4,House,580,-38.4133158,145.4289361
"22 Stockport Crescent, Thornhill Park VIC 3335",3.493293672,Friends Of The Melton Botanic Garden,Poor Park,4,2,2,House,570,-37.7103257,144.6205701
"40 Edenbrook Circuit, Pakenham VIC 3810",11.63880675,Wilson Botanic Park Berwick,Good Park,4,2,2,House,590,-38.0808095,145.4511635
"13 Pyrenees Street, Truganina VIC 3029",9.213087104,Cairnlea Park,Poor Park,4,2,2,House,560,-37.759756,144.6905662
"5 Giovanni Drive, Charlemont VIC 3217",5.034778363,Barwon Valley Park,Average Park,4,2,2,House,600,-38.2083376,144.3550923
"10 Pantheon Street, Wollert VIC 3750",14.22999311,Whittlesea Park,Poor Park,4,2,2,House,600,-37.5914764,144.9984766
"44 Madura Promenade, Mickleham VIC 3064",18.22565166,Organ Pipes National Park,Average Park,4,2,2,House,600,-37.5372846,144.8915229
"14 Heartlands Boulevard, Tarneit VIC 3029",7.356070188,Shoestring Gardening,Poor Park,4,2,2,House,600,-37.8345117,144.6615267
Tinapher Dr Rye VIC 3941,2.130278634,Blairgowrie Caravan Park,Poor Park,4,2,4,House,600,-38.3772132,144.8024039
"81 Pioneer Drive, Aintree VIC 3336",7.466822445,Friends Of The Melton Botanic Garden,Poor Park,4,2,2,House,580,-37.7258705,144.6626549
"22 Ogradys Road, Carrum Downs VIC 3201",5.713376994,Bunarong Park,Poor Park,3,2,1,House,560,-38.1059193,145.1698796
"56 Pioneer Drive, Aintree VIC 3336",7.234868146,Friends Of The Melton Botanic Garden,Poor Park,4,2,2,House,570,-37.7251852,144.6600521
"52 Station Place, Sunshine VIC 3020",4.628092026,Cairnlea Park,Poor Park,4,2,3,House,580,-37.7878588,144.8339153
"12 Jack Brawn Ave, Churchill VIC 3842",8.222959479,Morwell Centenary Rose Garden,Average Park,4,2,3,House,570,-38.3099347,146.4006729
"54B Manikato Drive, Drouin VIC 3818",5.650191872,Mattz Mowing & Garden Services: Warragul,Poor Park,3,2,2,House,570,-38.1276232,145.8673955
"15 Shakespeare Grove, Truganina VIC 3029",6.72757556,Altona Green Park,Poor Park,4,2,2,House,560,-37.8554289,144.7170085
"63 Feronia Avenue, Tarneit VIC 3029",5.235856768,Shoestring Gardening,Poor Park,4,2,2,House,560,-37.846197,144.6327258
"15 Roskopp Avenue, Clyde North VIC 3978",9.649093112,Wilson Botanic Park Berwick,Good Park,3,2,2,House,600,-38.11431,145.3362759
"24 ROYSTON AVENUE, Warragul VIC 3820",1.153355861,Mattz Mowing & Garden Services: Warragul,Poor Park,4,2,2,House,595,-38.1452782,145.9150844
"71 Williams Landing Boulevard, Williams Landing VIC 3027",3.853482338,Altona Green Park,Poor Park,3,2,2,House,570,-37.8624364,144.7511679
"15 Berner Avenue, Tarneit VIC 3029",9.101554253,Shoestring Gardening,Poor Park,4,2,2,House,580,-37.8182003,144.6647603
"20 Garden View Drive, Tarneit VIC 3029",7.799690647,Altona Green Park,Poor Park,4,2,2,House,570,-37.8471056,144.7092542
"58 Leicester St, Mildura VIC 3500",254.2958494,Schneider Gardens,Poor Park,3,2,2,House,560,-34.1690996,142.1353507
"9 Manchado Street, Tarneit VIC 3029",10.59472458,Cairnlea Park,Poor Park,4,2,2,House,570,-37.8140092,144.6964794
"15 Castlecrag Way, Strathtulloh VIC 3338",4.371771348,Friends Of The Melton Botanic Garden,Poor Park,4,2,2,House,570,-37.7273497,144.5881363
"27 Ormond Boulevard, Tarneit VIC 3029",4.154826044,Shoestring Gardening,Poor Park,4,3,2,House,600,-37.8608597,144.6463284
"67 Hall Avenue, Altona Meadows VIC 3028",2.286867556,Altona Green Park,Poor Park,4,2,2,House,600,-37.8659395,144.7813234
"35 Grassbird Street, Bairnsdale VIC 3875",73.54681783,Wallaby Rise Bush Camping Park,Poor Park,4,2,2,House,560,-37.8362586,147.5800703
"5 Celeste Court, Berwick VIC 3806",0.508126404,Wilson Botanic Park Berwick,Good Park,3,2,3,House,580,-38.0257384,145.3314087
"6 Grosvenor Dr, Wandana Heights VIC 3216",2.798447567,Barwon Valley Park,Average Park,3,2,2,House,580,-38.171452,144.3068465
"8 Style Way, Tarneit VIC 3029",8.261653877,Shoestring Gardening,Poor Park,4,2,2,House,575,-37.8296397,144.6713182
"19 Allan Close, Pakenham VIC 3810",13.66172979,Wilson Botanic Park Berwick,Good Park,4,2,2,House,590,-38.0605403,145.4870172
"54 Chantenay Parade, Cranbourne North VIC 3977",5.977769586,Wilson Botanic Park Berwick,Good Park,4,2,2,House,590,-38.0800564,145.3221795
"37 Chilula St, Huntly VIC 3551",8.196853895,Bendigo Botanic Gardens,Good Park,4,2,2,House,560,-36.6569208,144.346872
"26 Leonard Street, Belmont VIC 3216",0.803556202,Barwon Valley Park,Average Park,4,2,2,House,590,-38.1703689,144.3314913
"47 Clara Av, Truganina VIC 3029",8.988830124,Cairnlea Park,Poor Park,4,2,2,House,600,-37.758878,144.6931204
"208 Frankston-Dandenong Road, Seaford VIC 3198",3.09235498,Frankston Park,Poor Park,3,2,2,House,600,-38.1243356,145.1394588
"8 Tamar Avenue, Point Cook VIC 3030",5.029405675,Point Cook Coastal Park,Poor Park,4,2,2,House,600,-37.8813336,144.7225207
"5 Goodwill Road, Clyde North VIC 3978",9.790031642,Wilson Botanic Park Berwick,Good Park,4,2,2,House,580,-38.1038639,145.3924786
"16 Masquerade Road, Berwick VIC 3806",5.792019467,Wilson Botanic Park Berwick,Good Park,3,2,1,House,570,-38.0745284,145.3652753
"3 Celevan Street, Clyde North VIC 3978",9.953047121,Wilson Botanic Park Berwick,Good Park,4,2,2,House,580,-38.1042933,145.3952269
"12 Jardine Drive, Fraser Rise VIC 3336",6.01212063,Organ Pipes National Park,Average Park,4,2,2,House,580,-37.7103773,144.7242515
"2/32-34 Wackett Street, Laverton VIC 3028",3.771989876,Altona Green Park,Poor Park,3,2,2,House,580,-37.853993,144.770397
"130 Debonair Parade, Craigieburn VIC 3064",13.07782685,Organ Pipes National Park,Average Park,4,2,2,House,600,-37.6002715,144.8876707
"59 Plymouth Boulevard, Clyde North VIC 3978",7.874940516,Wilson Botanic Park Berwick,Good Park,4,2,2,House,560,-38.0983494,145.3379179
"35 Westonbury Drive, Truganina VIC 3029",6.302583636,Altona Green Park,Poor Park,4,2,2,House,580,-37.847841,144.7302556
"11 Gallant Road, Point Cook VIC 3030",2.62737779,Point Cook Coastal Park,Poor Park,3,2,2,House,580,-37.9029877,144.7326345
"2 Portland Avenue, Truganina VIC 3029",9.492181833,Altona Memorial Park,Poor Park,4,2,2,House,590,-37.819689,144.715365
"8 Norfolk Street, North Wonthaggi VIC 3995",2.981166401,Wonthaggi Community Garden,Poor Park,4,2,2,House,580,-38.6051977,145.6112088
"23 Prada Drive, Epping VIC 3076",13.49889332,Hayes Park,Poor Park,4,2,1,House,600,-37.6358569,145.0259649
"19 Evesham Drive, Point Cook VIC 3030",1.788344251,Point Cook Coastal Park,Poor Park,4,2,2,House,560,-37.9033529,144.7623168
"17 Topiary Way, Donnybrook VIC 3064",11.15501712,Whittlesea Park,Poor Park,4,2,2,House,580,-37.5303933,145.000867
"2 Farskiene Place, Hampton Park VIC 3976",6.883537473,Wilson Botanic Park Berwick,Good Park,4,2,2,House,600,-38.0411964,145.2600853
"22 Moore Drive, Fraser Rise VIC 3336",6.626336447,Organ Pipes National Park,Average Park,4,2,2,House,580,-37.7189314,144.7278771
"18 Pendlebury Court, Spring Gully VIC 3550",0.68062657,Koolamurt Park Scout Camp,Poor Park,3,2,2,House,580,-36.797584,144.2840786
"3 Flannery Street, Craigieburn VIC 3064",16.65752713,Organ Pipes National Park,Average Park,3,2,2,House,580,-37.5735551,144.9131421
"6 Wendouree View, Wollert VIC 3750",15.48649674,Hayes Park,Poor Park,4,2,2,House,600,-37.6183607,145.0013623
"2 Orville Way, White Hills VIC 3550",1.576135013,Bendigo Botanic Gardens,Good Park,4,2,2,House,580,-36.7363633,144.2999809
"8 Nubeena Crescent, Donnybrook VIC 3064",14.80390039,Whittlesea Park,Poor Park,5,3,2,House,480,-37.5449598,144.9625332
"367 Eighth Street, Mildura VIC 3500",254.3708823,Schneider Gardens,Poor Park,4,2,2,House,580,-34.1686326,142.1423067
"11 Brook Street, Caroline Springs VIC 3023",5.159091541,Cairnlea Park,Poor Park,4,2,2,House,580,-37.7348706,144.7456447
"27 Makybe Street, Bonnie Brook VIC 3335",7.692951814,Friends Of The Melton Botanic Garden,Poor Park,4,2,2,House,580,-37.7047235,144.6773077
"25 Hydrangea Drive, Point Cook VIC 3030",1.943151009,Point Cook Coastal Park,Poor Park,4,2,2,House,580,-37.9029288,144.7451004
"19 Malua Road, Bonnie Brook VIC 3335",8.101201525,Friends Of The Melton Botanic Garden,Poor Park,5,2,2,House,570,-37.704946,144.6820132
"19 Scotty Road, Deanside VIC 3336",9.141829138,Cairnlea Park,Poor Park,4,2,2,House,560,-37.7336852,144.6966549
"24 Coakley Crescent, Lovely Banks VIC 3213",0.72499908,Fountain of Friendship Park,Poor Park,4,2,2,House,570,-38.0871475,144.3326659
"56 Mission Hills Way, Craigieburn VIC 3064",14.93861951,Organ Pipes National Park,Average Park,4,2,2,House,600,-37.6029865,144.9146047
"157 Turramurra Drive, Rowville VIC 3178",3.50107283,Churchill National Park,Average Park,4,2,4,House,600,-37.9231156,145.2344876
"413 Black Forest Road, Werribee VIC 3030",2.419767241,Shoestring Gardening,Poor Park,4,3,2,House,580,-37.8979849,144.5941906
"5 Conductor Gr, Clyde North VIC 3978",10.76491241,Wilson Botanic Park Berwick,Good Park,4,2,2,House,580,-38.1206246,145.3705106
"3 Cortland Close, Kangaroo Flat VIC 3555",1.812405604,Kangaroo Flat Native Botanic Gardens,Poor Park,5,2,2,House,600,-36.8131217,144.2420898
"67 Seabrook Boulevard, Seabrook VIC 3028",1.951447768,Altona Green Park,Poor Park,3,2,2,House,600,-37.8779867,144.7633313
"33 Blackwattle Drive, Armstrong Creek VIC 3217",6.936667846,Barwon Valley Park,Average Park,4,2,2,House,570,-38.224785,144.3610855
"114 Westmeadows Lane, Truganina VIC 3029",7.740828086,Altona Green Park,Poor Park,4,2,2,House,580,-37.8418095,144.7151555
"21 Gala Ave, Wyndham Vale VIC 3024",2.94618977,Shoestring Gardening,Poor Park,4,3,3,House,600,-37.8662613,144.6148686
"24 Yuruga Blvd, Point Cook VIC 3030",1.49898138,Point Cook Coastal Park,Poor Park,3,2,2,House,560,-37.905815,144.7493192
"43 Papillon Parade, Tarneit VIC 3029",6.008419761,Shoestring Gardening,Poor Park,4,2,2,House,570,-37.8474777,144.6589817
"1 Carinya Street, Bacchus Marsh VIC 3340",0.715802908,Stonehill Park,Poor Park,4,2,2,House,560,-37.6790006,144.4209199
"5 Oats Way, Truganina VIC 3029",9.678511088,Altona Green Park,Poor Park,4,2,2,House,600,-37.8199276,144.7117372
"91 Hemingway Drive, Rockbank VIC 3335",8.160416578,Friends Of The Melton Botanic Garden,Poor Park,4,2,0,House,570,-37.7352683,144.663562
"15 Kyah Street, Fraser Rise VIC 3336",8.071809391,Organ Pipes National Park,Average Park,4,2,2,House,580,-37.7151627,144.6966392
"14 Raydale Avenue, Narre Warren South VIC 3805",5.06145769,Wilson Botanic Park Berwick,Good Park,3,2,2,House,560,-38.0730221,145.3346072
"18 Wondaree St, Rye VIC 3941",2.763234827,Blairgowrie Caravan Park,Poor Park,3,3,2,House,600,-38.378871,144.8097008
"28 Bernardins Street, Clyde North VIC 3978",8.218283957,Wilson Botanic Park Berwick,Good Park,4,2,2,House,570,-38.0983116,145.3637787
"60 Walhallow Drive, Clyde North VIC 3978",9.570468016,Wilson Botanic Park Berwick,Good Park,4,2,1,House,600,-38.1133316,145.3454293
"39 Rio Grande Drive, Roxburgh Park VIC 3064",15.82505971,Organ Pipes National Park,Average Park,3,2,2,House,570,-37.6169118,144.9337733
"68 Averys Road, California Gully VIC 3556",1.266402959,JD’s community garden and art space,Poor Park,4,2,0,House,600,-36.7204772,144.2762283
