Name,Address,Longitude,Latitude
Westfield Geelong,"95 Malop Street, Geelong",144.3627389,-38.1466499
Wyndham Village Shopping Centre,"380 Sayers Road, Tarneit",144.7044865,-37.8493732
Waurn Ponds Shopping Centre,"Cnr Colac &, Pioneer Road, Waurn Ponds",144.3198724,-38.20010449999999
Gateway Plaza Leopold,"621/659 Bellarine Highway, Leopold",144.4553202,-38.1856221
Centrepoint Arcade,"193 Ryrie Street, Geelong",144.3614607,-38.149642
Safari Kids Animal Rides,"Market Square, Geelong",144.360693,-38.1500616
KeyKing,"Kiosk 2, Market Square Shopping Centre, Moorabool Street, Geelong",144.3618389,-38.1481028
Renew Geelong Concept Space,"107 Moorabool Street, Geelong",144.3607827,-38.147809
Geelong Central,"100/108 Moorabool Street, Geelong",144.3602916,-38.1476571
Belmont Lotto & Tobacconist,"Shop 6-8/65 High Street, Belmont",144.3493082,-38.1699007
West Coast Plaza,High Street,144.3451589,-38.1723491
Bellarine Village Shopping Centre,"27-37 Bellarine Highway, Newcomb",144.3887315,-38.1687151
Belmont Walk,"Thomson Street, Belmont",144.3422403,-38.1743707
Newcomb Central Shopping Centre,"71 Bellarine Highway, Newcomb",144.3926735,-38.1700271
Highton Shopping Village,Highton,144.3243781,-38.1722764
Newcomb central shopping centres. Newcomb,"Kidman Ave &, Torquay Road, Belmont",144.3442694,-38.1856945
Bulbs Direct,"244 Portarlington Road, Moolap",144.4099719,-38.1635725
Barrabool Hills Plaza,"36-46 Province Boulevard, Highton",144.3062065,-38.1608293
Grovedale Plaza,"124 Burdoo Drive, Grovedale",144.3300289,-38.2080097
Bell Post Hill Laundromat,"Shop 2A 290/306 Anakie Road, Bell Post Hill",144.3360194,-38.089965
Bellpost Shopping Centre,"306 Anakie Road, Norlane",144.3369994,-38.0895035
Geelong Homemaker Centre,"235 Colac Road, Waurn Ponds",144.3083035,-38.2030237
Corio Village Food Court,"83 Bacchus Marsh Road, Corio",144.3556607,-38.07526579999999
Corio Village: Woolworths Entrance,"Bacchus Marsh Rd &, Purnell Road, Corio",144.3571856,-38.0750433
Eco Laundry Room (Corio),"Shop 76/83A Purnell Road, Corio",144.3564858,-38.0749407
Corio Village: Centrelink Entrance,"Corner of Bacchus Marsh Road and Purnell Road Corio Village Shopping Centre, Shop G001, Corio",144.3563309,-38.0747646
HomeCo. Armstrong Creek Town Centre (ACTC),"40 Main Street, Armstrong Creek",144.3400445,-38.2271142
The Village Warralily Shopping Centre,"3/33 Central Boulevard, Armstrong Creek",144.3722798,-38.2300895
Lara Village Shopping Centre,"4/2 Waverley Road, Lara",144.4101079,-38.0234917
Eco Laundry Room (Lara),"Lara Village Shopping Centre, Unit 1 A/120 Station Lake Road, Lara",144.410294,-38.02316069999999
Bayview Central Curlewis,"90 Centennial Boulevard, Curlewis",144.5449063,-38.1688674
The Dunes Village,"222 Fischer Street, Torquay",144.3302344,-38.30797949999999
Australian Business Consumables,"11 Cylinders Drive, Torquay",144.3161397,-38.3113508
Kingston Village Square,"122-160 Grubb Road, Ocean Grove",144.5405593,-38.246704
Ocean Plaza,"91 Presidents Avenue, Ocean Grove",144.5226735,-38.26690749999999
Trak Arcade,"18 Park Lane, Ocean Grove",144.5232846,-38.2676534
Skate Garage,"114b Surf Coast Highway, Torquay",144.3178904,-38.3266279
Ocean Grove Marketplace,"2/20 Kingston Downs Drive, Ocean Grove",144.5482405,-38.2579083
Eco Laundry Room (Ocean Grove),"Ocean Grove Marketplace, Shop 14/2-20 Kingston Downs Drive, Ocean Grove",144.5484857,-38.2585266
Bannockburn Plaza,"Shop 12/6 High Street, Bannockburn",144.1716137,-38.0449649
Bannockburn Central Shopping Centre,"17 McPhillips Road, Bannockburn",144.1706754,-38.0435165
Torquay Village,"41 Bristol Road, Torquay",144.320432,-38.3315133
Nauticalia World,"49 Newcombe Street, Portarlington",144.6519097,-38.11460339999999
two dollar shop (One - Variety Discount Shop),"Manor Lakes Boulevard, Wyndham Vale",144.6142294,-37.8762055
Best&Less Manor Lakes,"Shop MM01/455 Ballan Road, Manor Lakes",144.614568,-37.8758361
Central Square Ballarat Shopping Centre,"18 Armstrong Street South, Ballarat Central",143.8555244,-37.5626109
Country Grocers Ballan,"135 Inglis Street, Ballan",144.2249569,-37.6004486
Stockland Wendouree Shopping Centre,"Norman Street &, Gillies Street North, Wendouree",143.8239425,-37.5343847
Country Kids Ballarat,"25 Bridge Mall, Ballarat Central",143.8619222,-37.5619271
The Block Arcade Ballarat,"1 Doveton Street South, Ballarat Central",143.8548657,-37.56295289999999
City Centre Arcade,"315 Sturt Street, Ballarat Central",143.8553954,-37.5621349
Eureka House,"11 Lydiard Street South, Ballarat Central",143.8578284,-37.5625757
Norwich Plaza,"15 Bridge Mall, Ballarat Central",143.8614342,-37.5622653
Alfred Square,"1/61 Curtis Street, Ballarat Central",143.8618136,-37.5610685
drift,"Bridge Mall, Ballarat Central",143.8625474,-37.56196540000001
The Bridge,"62A Bridge Mall, Ballarat Central",143.8627363,-37.5628785
Bakery Hill Shopping Centre,"73 Victoria Street, Bakery Hill",143.86846,-37.5614121
Ballarat Wholefoods Collective,"Barkly Street, Ballarat East",143.8688818,-37.56420980000001
Northway Shopping Center,"Norman Street, Wendouree",143.8588365,-37.53698469999999
RUG N ROLL,"Opposite Coles, Stockland Wendouree Shopping, Shop T74 Norman Street &, Gillies Street North, Wendouree",143.8246959,-37.5352276
Local Shops,"300 Gillies Street North, Wendouree",143.8246866,-37.5345042
Dangerfield Stockland Wendouree,"Shop 107 Stockland Shopping Center VIC Norman Street &, Gillies Street North, Wendouree",143.8225264,-37.5357094
