Price,Address,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude,geometry,index_right,STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,distance_to_train,distance_to_cbd
$395 weekly,"95 Kookaburra Ave, Werribee VIC 3030",3,1,2,House,395,-37.8850549,144.6810273,POINT (16105818.286483714 -4563200.6267413655),172,19922,-37.883276,Hoppers Crossing Railway Station (Hoppers Crossing),144.700955,2,Werribee,2.713,32.062
$400,"206c Somerville Road, Kingsville VIC 3012",1,1,0,House,400,-37.8122118,144.8798849,POINT (16127955.013256084 -4552931.498225995),23,19996,-37.81585,Yarraville Railway Station (Yarraville),144.889934,1,"Williamstown,Werribee",2.09,8.838
$400 weekly,"109 South Road, Braybrook VIC 3019",2,1,1,House,400,-37.7909723,144.846438,POINT (16124231.721379472 -4549939.147004015),44,20021,-37.788536,Sunshine Railway Station (Sunshine),144.832878,"1,2",Sunbury,1.559,12.042
$175-270/Week per Bed,"Rooms 1-4 of 2/1 Beevers Street, Footscray VIC 3011",1,2,0,House,175,-37.7972834,144.9081797,POINT (16131104.775984183 -4550828.2036890695),48,20025,-37.801083,Footscray Railway Station (Footscray),144.903199,1,"Werribee,Williamstown,Sunbury",1.87,7.103
$370 Per Week,"1/10 Pearce Street, California Gully VIC 3556",2,1,1,House,370,-36.7308045,144.2660747,POINT (16059625.974348366 -4401650.535553013),75,15351,-37.579091,Sunbury Railway Station (Sunbury),144.727319,2,Sunbury,119.234,156.06
$250pw utilities included,"53 Beddoe Avenue, Clayton VIC 3168",1,3,0,House,250,-37.91168589999999,145.1276099,POINT (16155531.63411285 -4566957.493517267),165,19915,-37.924683,Clayton Railway Station (Clayton),145.120534,2,"Pakenham,Cranbourne",3.11,23.417
$380 weekly,"1/38 Selwyn Street, Albion VIC 3020",2,1,2,House,380,-37.7799036,144.8152454,POINT (16120759.377030954 -4548380.061498344),29,20004,-37.777653,Albion Railway Station (Sunshine North),144.824704,"1,2",Sunbury,2.268,15.497
$390 pw,"2/1 Regis Close, Werribee VIC 3030",2,1,1,House,390,-37.8934125,144.6353769,POINT (16100736.507201202 -4564379.496949109),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,3.287,36.475
"$250 per week, all inclusive","117 Chapple Street, Wodonga VIC 3690",8,3,4,House,250,-36.1324914,146.9042421,POINT (16353305.42594378 -4318867.3321245825),17,19990,-37.639398,Hurstbridge Railway Station (Hurstbridge),145.192017,2,Hurstbridge,302.182,323.743
$395 pw,"10 Kuhnes Road, Mardan VIC 3953",3,2,1,House,395,-38.4836609,146.0864995,POINT (16262274.736111814 -4647977.999399613),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,90.004,149.926
$205 Per week - x 1 rooms available,"22 Senior Court, Highton VIC 3216",1,1,0,House,205,-38.1981458,144.3063581,POINT (16064110.30192379 -4607455.108303825),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,54.001,86.892
$390,"2/32-34 Kerr Street, Warrnambool VIC 3280",1,1,1,House,390,-38.3756951,142.4753088,POINT (15860278.826230409 -4632635.725400689),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,225.322,258.212
$330.00 Per Week,"77 Burns Street, Maryborough VIC 3465",3,1,0,House,330,-37.0473304,143.7439882,POINT (16001507.571018325 -4445706.089593263),75,15351,-37.579091,Sunbury Railway Station (Sunbury),144.727319,2,Sunbury,132.509,169.336
$400 p.w.,"9 St Helens Avenue, Lake Gardens VIC 3355",4,2,2,House,400,-37.5471778,143.8176094,POINT (16009703.045513915 -4515653.245920975),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,95.782,131.636
$400,"4/2 Kitchener Street, Mentone VIC 3194",2,1,1,House,400,-37.9879647,145.0596182,POINT (16147962.832690679 -4577725.768109667),115,19865,-37.981865,Mentone Railway Station (Mentone),145.065166,2,Frankston,1.741,31.207
$380.00,"605 Urquhart Street, Ballarat Central VIC 3350",3,1,1,House,380,-37.5670907,143.8442124,POINT (16012664.47792749 -4518449.46840596),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,89.451,125.305
$400,"20 Sybella Avenue, Koo Wee Rup VIC 3981",2,2,0,House,400,-38.2023859,145.488924,POINT (16195752.935741277 -4608055.736103484),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,15.466,75.389
$380 pw,"49 Mowbray Crescent, Kurunjang VIC 3337",3,1,3,House,380,-37.66979329999999,144.5852733,POINT (16095158.999962294 -4532883.128864783),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,19.783,45.169
$400 Per Week,"17 King Street, Maffra VIC 3860",4,1,2,House,400,-37.9639929,146.9811672,POINT (16361868.688905003 -4574340.46526223),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,162.608,222.53
$400 per week,"6 Seymour Crescent, Soldiers Hill VIC 3350",2,1,2,House,400,-37.5549076,143.8631584,POINT (16014773.537000058 -4516738.596306314),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,87.804,123.658
$360 weekly,"218 Nelson St, Ballarat East VIC 3350",3,1,4,House,360,-37.556719,143.8803236,POINT (16016684.358323421 -4516992.9534098655),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,85.665,121.519
$320,"3/8-10 Mitchell Street, Heathcote VIC 3523",2,1,1,House,320,-36.913884,144.7012075,POINT (16108064.73607182 -4427110.115317214),75,15351,-37.579091,Sunbury Railway Station (Sunbury),144.727319,2,Sunbury,85.724,134.389
$390 pw,"19 Tennyson Street, Norlane VIC 3214",3,1,1,House,390,-38.0966747,144.3587107,POINT (16069938.166697493 -4593091.721712376),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,36.131,69.022
$385.00,"22 Carpenter Street, Wendouree VIC 3355",3,2,6,House,385,-37.5233295,143.8337074,POINT (16011495.066676704 -4512305.386881747),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,93.424,129.279
$380 per week,"8/36 Adelaide Street, Albion VIC 3020",2,1,1,House,380,-37.7812666,144.8197418,POINT (16121259.913989356 -4548572.034721509),29,20004,-37.777653,Albion Railway Station (Sunshine North),144.824704,"1,2",Sunbury,1.849,15.078
$370.00,"837 Humffray Street South, Mount Pleasant VIC 3350",2,1,2,House,370,-37.5762541,143.8509838,POINT (16013418.266727444 -4519736.468581601),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,88.894,124.749
$390 Per Week,"14 Taunton Street, Sunshine VIC 3020",2,1,2,House,390,-37.7830559,144.8409661,POINT (16123622.5922578 -4548824.056007635),44,20021,-37.788536,Sunshine Railway Station (Sunshine),144.832878,"1,2",Sunbury,2.055,13.134
$400.00,"25 Malmesbury Street, Wendouree VIC 3355",3,1,2,House,400,-37.5251767,143.8318032,POINT (16011283.092102338 -4512564.661259142),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,93.393,129.247
$400,"118 SWEENEYS ROAD, Dumbalk VIC 3956",3,2,2,House,400,-38.54223940000001,146.0788,POINT (16261417.631692452 -4656311.802377953),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,95.141,155.063
$310.00 per week,"2/14 Aquila Court, Ballarat North VIC 3350",2,1,1,House,310,-37.54352739999999,143.8687719,POINT (16015398.428961627 -4515140.728053827),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,87.588,123.442
$330,"9/70 Chute Street, Mordialloc VIC 3195",1,1,1,House,330,-38.0036845,145.0939644,POINT (16151786.234185362 -4579946.322223678),113,19863,-38.006583,Mordialloc Railway Station (Mordialloc),145.087659,2,Frankston,0.779,34.298
$400 per week,"68 Grand Ridge West, Mirboo North VIC 3871",3,1,1,House,400,-38.3938147,146.1444048,POINT (16268720.724622045 -4635208.975728878),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,97.582,157.504
$370 weekly,"1/228 Albert St, Sebastopol VIC 3356",2,1,1,House,370,-37.601047,143.8406886,POINT (16012272.21030583 -4523219.427338601),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,93.861,129.716
$295 incl. Outgoings,"13a Foam Street, Rosebud VIC 3939",1,1,0,House,295,-38.3594917,144.9083172,POINT (16131120.082414165 -4630335.149482245),80,19830,-38.33739,Bittern Railway Station (Bittern),145.178027,2,Stony Point,28.784,92.417
$340,"513 Thompson Road, Norlane VIC 3214",3,1,2,House,340,-38.0926428,144.3466438,POINT (16068594.88553404 -4592521.412551536),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,36.399,69.29
$400PW Unfurnished/ $450.00 per week Furnished,"204 Talbot Street South, Ballarat Central VIC 3350",2,2,2,House,400,-37.564898,143.8418001,POINT (16012395.941919846 -4518141.5270130085),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,89.467,125.322
$350 per week,"3/34 Douglass Street, Herne Hill VIC 3218",1,1,1,House,350,-38.131764,144.326379,POINT (16066339.018317014 -4598056.40546701),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,44.734,77.624
$400.00,"7 Vale Street, Sebastopol VIC 3356",3,2,1,House,400,-37.604722,143.8391477,POINT (16012100.678102467 -4523735.7978278585),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,94.38,130.235
$375 per week,"9 Parton Place, Craigieburn VIC 3064",1,1,1,House,375,-37.6103642,144.9404833,POINT (16134700.796286972 -4524528.627227637),65,40221,-37.601817,Craigieburn Railway Station (Craigieburn),144.94332,2,Craigieburn,1.681,28.243
$350.00,"1 Merlow Street, Albion VIC 3020",2,1,2,House,350,-37.7797648,144.8126704,POINT (16120472.72934216 -4548360.512259391),29,20004,-37.777653,Albion Railway Station (Sunshine North),144.824704,"1,2",Sunbury,2.381,15.611
$380.00 per week,"104 Twelfth Street, Mildura VIC 3500",3,1,1,House,380,-34.1929323,142.1584077,POINT (15825001.55714658 -4054737.6339199133),75,15351,-37.579091,Sunbury Railway Station (Sunbury),144.727319,2,Sunbury,507.565,544.391
$280,"5/35 Fyans Street, South Geelong VIC 3220",1,1,1,House,280,-38.16092,144.35334,POINT (16069340.30310829 -4602183.419511765),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,43.519,76.409
$400.00,"4/290 Humffray Street North, Brown Hill VIC 3350",3,1,2,House,400,-37.5540266,143.8944692,POINT (16018259.039312389 -4516614.888367626),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,84.873,120.727
$380.00 per week,"1/12 Staverly Road, Herne Hill VIC 3218",2,1,1,House,380,-38.1329383,144.3286153,POINT (16066587.962094272 -4598222.595045059),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,44.605,77.496
$350.00 per week,"56 Maple Avenue, Wendouree VIC 3355",3,1,3,House,350,-37.5284732,143.822374,POINT (16010233.438359749 -4513027.376423435),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,93.78,129.635
$350 pw,"21 Margaret Street, Wendouree VIC 3355",3,1,2,House,350,-37.5304931,143.8282525,POINT (16010887.829986375 -4513310.910980516),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,94.162,130.016
$400 per week,"13 Opal Street, Cobblebank VIC 3338",3,2,1,House,400,-37.7128011,144.5872072,POINT (16095374.280725539 -4538933.308768684),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,21.244,54.497
$380,"70 WILD DOG VALLEY ROAD, Leongatha VIC 3953",3,1,0,House,380,-38.4625537,145.9510783,POINT (16247199.717085201 -4644976.796165473),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,77.111,137.033
$320,"3/97 Vista Dve, Melton VIC 3337",2,1,1,House,320,-37.6832615,144.5726819,POINT (16093757.331725916 -4534777.408633922),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,19.274,53.822
$400 per week,"4 Burgundy Drive, Wyndham Vale VIC 3024",3,1,2,House,400,-37.88868799999999,144.6291696,POINT (16100045.513726003 -4563713.072412477),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,4.046,36.994
$390,"20 Tilton Street, Shepparton VIC 3630",3,1,1,House,390,-36.361154,145.3965945,POINT (16185474.86281608 -4350430.0757877575),74,52161,-37.602548,Mernda Railway Station (Mernda),145.100885,2,Mernda,159.961,193.186
$380 per week,"79 Victoria Street, Korumburra VIC 3950",2,1,0,House,380,-38.428185,145.8163657,POINT (16232203.579049762 -4640091.8374407245),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,60.904,120.826
$350,"12 Robert Street, Morwell VIC 3840",3,1,3,House,350,-38.2207865,146.4244772,POINT (16299898.241575297 -4610662.663020395),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,94.903,154.825
$375 per week,"5 Violet Grove, Wendouree VIC 3355",3,1,2,House,375,-37.52940419999999,143.8196029,POINT (16009924.960918812 -4513158.0604898995),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,94.266,130.121
$165,"Room 5/32 - 34 Churchill Avenue, Flora Hill VIC 3550",1,1,1,House,165,-36.7730392,144.2925706,POINT (16062575.484444477 -4407518.418133855),75,15351,-37.579091,Sunbury Railway Station (Sunbury),144.727319,2,Sunbury,115.144,151.97
$350 pw,"3 Stephenson Street, Morwell VIC 3840",3,1,1,House,350,-38.224174,146.4220362,POINT (16299626.51069827 -4611142.662969998),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,96.043,155.965
$380.00 per week,"32 Park Street, Wendouree VIC 3355",3,1,2,House,380,-37.535821,143.8260503,POINT (16010642.68220375 -4514058.828293649),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,94.577,130.431
$360.00,"46/65 Mickleham Road, Tullamarine VIC 3043",2,2,1,House,360,-37.6985376,144.8804551,POINT (16128018.487629736 -4536926.382854085),51,20031,-37.695131,Jacana Railway Station (Glenroy),144.915851,2,Craigieburn,5.898,20.618
$370 weekly,"7 Head St, Wendouree VIC 3355",3,1,1,House,370,-37.5367429,143.8360619,POINT (16011757.168417778 -4514188.247739012),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,93.506,129.36
$390.00 per week,"87 Neale Street, Kennington VIC 3550",2,1,1,House,390,-36.7684069,144.2939376,POINT (16062727.65818839 -4406874.67127949),75,15351,-37.579091,Sunbury Railway Station (Sunbury),144.727319,2,Sunbury,115.551,152.377
$380 pw,"15 Wyoming Avenue, Corio VIC 3214",3,1,0,House,380,-38.0822608,144.3495387,POINT (16068917.144327939 -4591053.031399225),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,35.342,68.233
$370.00,"36 Goldsworthy Road, Corio VIC 3214",3,1,1,House,370,-38.077727,144.3546966,POINT (16069491.3191295 -4590411.857500197),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,34.568,67.459
$395.00,"508 Gillies Street, Wendouree VIC 3355",3,1,1,House,395,-37.5225381,143.8259655,POINT (16010633.242310932 -4512194.307348513),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,92.612,128.467
$375.00,"47 King Street South, Ballarat East VIC 3350",3,1,2,House,375,-37.5673251,143.8747855,POINT (16016067.85985146 -4518482.387929127),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,86.736,122.59
$350 pw,"43 Wilsons Lane, Sebastopol VIC 3356",3,1,1,House,350,-37.5970511,143.8420865,POINT (16012427.82382201 -4522657.996463158),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,93.715,129.569
$340 Per Week,"8 Firmin Road, Churchill VIC 3842",3,1,4,House,340,-38.3084417,146.4132594,POINT (16298649.481791472 -4623090.380726645),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,102.204,162.126
$355 weekly,"6A Glendenning Street, Canadian VIC 3350",2,1,1,House,355,-37.57225320000001,143.8743653,POINT (16016021.083401429 -4519174.522418864),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,87.852,123.706
$350,"22 Montgomery Street, Ararat VIC 3377",3,1,1,House,350,-37.2946292,142.9220488,POINT (15910009.695547396 -4480254.253715177),75,15351,-37.579091,Sunbury Railway Station (Sunbury),144.727319,2,Sunbury,184.687,215.112
$360 weekly,"5/91 Grant St, Sebastopol VIC 3356",2,1,1,House,360,-37.5940564,143.8322615,POINT (16011334.109824965 -4522237.255687864),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,92.793,128.647
$380,"127 Grey Street, Traralgon VIC 3844",3,1,0,House,380,-38.1923982,146.5255071,POINT (16311144.838598192 -4606640.9926946685),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,105.054,164.976
$360.00 per week,"26 Furlonger Street, Traralgon VIC 3844",3,1,3,House,360,-38.2065305,146.5528661,POINT (16314190.428546805 -4608642.869739613),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,107.061,166.983
$380 pw,"14 Granault Parade, Corio VIC 3214",3,1,2,House,380,-38.0755562,144.364918,POINT (16070629.160172692 -4590104.875168224),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,33.529,66.42
$375 p.w.,"197 Spencer Street, Sebastopol VIC 3356",3,1,2,House,375,-37.6051387,143.8384464,POINT (16012022.609743575 -4523794.349528672),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,94.566,130.42
$400,"33 Vista Drive, Melton VIC 3337",3,1,3,House,400,-37.6815436,144.5761945,POINT (16094148.35256928 -4534535.769742274),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,19.334,53.881
$400.00,"304 Cobden Street, Mount Pleasant VIC 3350",3,1,1,House,400,-37.5772466,143.8567105,POINT (16014055.76005537 -4519875.874781775),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,88.607,124.462
$400.00,"228 Walker Street, Sebastopol VIC 3356",3,2,2,House,400,-37.595181,143.8259515,POINT (16010631.68383806 -4522395.254529222),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,93.287,129.141
$390 pw,"5 Chapel Street, Nathalia VIC 3638",2,1,2,House,390,-36.0568638,145.2084122,POINT (16164526.505003773 -4308448.566812946),74,52161,-37.602548,Mernda Railway Station (Mernda),145.100885,2,Mernda,200.447,233.672
$380,"5 Fisher Place, Kurunjang VIC 3337",3,1,2,House,380,-37.6673364,144.5966068,POINT (16096420.639411196 -4532537.607074932),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,19.401,44.102
$395 pw,"24a Grammar Street, Wendouree VIC 3355",2,1,1,House,395,-37.535422,143.8346877,POINT (16011604.19317353 -4514002.815817926),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,93.564,129.418
$350 per week,"418 Campbell Street, Swan Hill VIC 3585",3,1,0,House,350,-35.3475463,143.5615185,POINT (15981195.136929125 -4211212.175303536),75,15351,-37.579091,Sunbury Railway Station (Sunbury),144.727319,2,Sunbury,300.656,337.483
$370 pw,"24 Grammar Street, Wendouree VIC 3355",3,1,1,House,370,-37.535422,143.8346877,POINT (16011604.19317353 -4514002.815817926),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,93.564,129.418
$380 weekly,"205A Dowling St, Wendouree VIC 3355",3,1,1,House,380,-37.5401052,143.839949,POINT (16012189.878410438 -4514660.272363957),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,93.451,129.305
$385.00,"17 Nine Mile Road, Napoleons VIC 3352",3,1,2,House,385,-37.6832636,143.8271447,POINT (16010764.510254476 -4534777.704022219),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,103.77,137.969
$380.00,"2/302 Errard Street South, Ballarat Central VIC 3350",2,1,1,House,380,-37.56748169999999,143.8474561,POINT (16013025.564959774 -4518504.381149513),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,89.102,124.956
$400 PW / AVAIL. 13.09.24,"48 Allen Crescent, Traralgon VIC 3844",3,1,2,House,400,-38.2016318,146.5589514,POINT (16314867.84104413 -4607948.912144884),130,19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham,107.324,167.247
$310.00 pw,"39 Yarrowee Street, Sebastopol VIC 3356",3,1,1,House,310,-37.586562,143.8431048,POINT (16012541.180459484 -4521184.403160973),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,91.187,127.042
$375 per week,"17 Koala Street, Cowes VIC 3922",2,1,2,House,375,-38.4555816,145.2276303,POINT (16166665.854109786 -4643985.636006673),77,19827,-38.374235,Stony Point Railway Station (Crib Point),145.221837,2,Stony Point,110.236,142.252
$ 300 Per Week,"1 King George Street, Cohuna VIC 3568",2,1,0,House,300,-35.8108785,144.2237231,POINT (16054911.415802086 -4274629.651922964),75,15351,-37.579091,Sunbury Railway Station (Sunbury),144.727319,2,Sunbury,236.88,273.706
