Unnamed: 0,Unnamed: 1,Mar 2010,Unnamed: 83,Jun 2010,Unnamed: 85,Sep 2010,Unnamed: 87,Dec 2010,Unnamed: 89,Mar 2011,Unnamed: 91,Jun 2011,Unnamed: 93,Sep 2011,Unnamed: 95,Dec 2011,Unnamed: 97,Mar 2012,Unnamed: 99,Jun 2012,Unnamed: 101,Sep 2012,Unnamed: 103,Dec 2012,Unnamed: 105,Mar 2013,Unnamed: 107,Jun 2013,Unnamed: 109,Sep 2013,Unnamed: 111,Dec 2013,Unnamed: 113,Mar 2014,Unnamed: 115,Jun 2014,Unnamed: 117,Sep 2014,Unnamed: 119,Dec 2014,Unnamed: 121,Mar 2015,Unnamed: 123,Jun 2015,Unnamed: 125,Sep 2015,Unnamed: 127,Dec 2015,Unnamed: 129,Mar 2016,Unnamed: 131,Jun 2016,Unnamed: 133,Sep 2016,Unnamed: 135,Dec 2016,Unnamed: 137,Mar 2017,Unnamed: 139,Jun 2017,Unnamed: 141,Sep 2017,Unnamed: 143,Dec 2017,Unnamed: 145,Mar 2018,Unnamed: 147,Jun 2018,Unnamed: 149,Sep 2018,Unnamed: 151,Dec 2018,Unnamed: 153,Mar 2019,Unnamed: 155,Jun 2019,Unnamed: 157,Sep 2019,Unnamed: 159,Dec 2019,Unnamed: 161,Mar 2023,Unnamed: 187
Outer Eastern Melbourne,Bayswater,443,$285.00,434,$290.00,452,$298.00,490,$310.00,517,$310.00,515,$316.00,531,$320.00,554,$320.00,553,$320.00,599,$320.00,589,$320.00,556,$320.00,549,$320.00,568,$320.00,573,$330.00,577,$335.00,605,$330.00,589,$335.00,610,$340.00,626,$340.00,612,$340.00,596,$345.00,585,$350.00,593,$350.00,597,$350.00,660,$350.00,685,$350.00,718,$350.00,737,$355.00,715,$360.00,687,$365.00,673,$370.00,685,$375.00,665,$380.00,684,$380.00,679,$380.00,675,$385.00,692,$390.00,686,$390.00,674,$390.00,591,$440.00
,Boronia,587,$300.00,590,$310.00,601,$315.00,617,$320.00,640,$320.00,646,$320.00,644,$320.00,649,$330.00,679,$330.00,704,$330.00,731,$325.00,757,$325.00,771,$330.00,777,$330.00,781,$330.00,774,$340.00,752,$340.00,726,$340.00,703,$340.00,673,$340.00,653,$350.00,680,$350.00,727,$350.00,781,$350.00,794,$350.00,790,$350.00,764,$350.00,758,$360.00,780,$360.00,809,$360.00,824,$370.00,830,$370.00,851,$380.00,870,$380.00,886,$385.00,881,$390.00,885,$390.00,852,$390.00,836,$390.00,819,$390.00,647,$450.00
,Croydon-Lilydale,"1,866",$300.00,"1,917",$310.00,"1,961",$315.00,"2,011",$320.00,"2,032",$330.00,"2,013",$330.00,"2,073",$330.00,"2,072",$340.00,"2,085",$340.00,"2,088",$340.00,"2,096",$340.00,"2,121",$340.00,"2,137",$340.00,"2,189",$340.00,"2,202",$340.00,"2,244",$345.00,"2,246",$350.00,"2,237",$350.00,"2,190",$350.00,"2,202",$352.00,"2,210",$360.00,"2,265",$360.00,"2,366",$360.00,"2,378",$365.00,"2,409",$370.00,"2,428",$370.00,"2,450",$375.00,"2,480",$380.00,"2,508",$380.00,"2,521",$380.00,"2,500",$385.00,"2,503",$390.00,"2,458",$395.00,"2,407",$400.00,"2,369",$400.00,"2,362",$400.00,"2,432",$400.00,"2,449",$410.00,"2,490",$410.00,"2,505",$410.00,"2,109",$470.00
,Ferntree Gully,445,$300.00,444,$310.00,428,$320.00,443,$320.00,458,$320.00,467,$320.00,480,$330.00,507,$330.00,512,$325.00,564,$320.00,588,$320.00,572,$325.00,561,$330.00,506,$335.00,486,$340.00,507,$340.00,518,$340.00,520,$340.00,513,$345.00,501,$350.00,499,$350.00,520,$350.00,517,$350.00,517,$360.00,534,$370.00,538,$370.00,554,$370.00,582,$370.00,589,$380.00,597,$380.00,608,$390.00,623,$395.00,600,$395.00,626,$400.00,626,$400.00,603,$400.00,641,$400.00,630,$400.00,628,$400.00,619,$410.00,507,$460.00
,Ringwood,"1,187",$300.00,"1,187",$310.00,"1,224",$320.00,"1,213",$320.00,"1,257",$320.00,"1,224",$321.00,"1,303",$330.00,"1,318",$330.00,"1,352",$335.00,"1,407",$335.00,"1,398",$330.00,"1,420",$330.00,"1,374",$330.00,"1,420",$330.00,"1,411",$335.00,"1,437",$340.00,"1,446",$340.00,"1,403",$345.00,"1,387",$350.00,"1,407",$350.00,"1,447",$350.00,"1,431",$360.00,"1,461",$360.00,"1,486",$360.00,"1,543",$365.00,"1,596",$365.00,"1,608",$370.00,"1,601",$370.00,"1,602",$380.00,"1,630",$380.00,"1,653",$380.00,"1,676",$385.00,"1,678",$385.00,"1,653",$390.00,"1,616",$395.00,"1,583",$400.00,"1,553",$400.00,"1,597",$400.00,"1,680",$400.00,"1,736",$400.00,"1,464",$450.00
,Rowville,446,$350.00,436,$360.00,442,$361.00,455,$370.00,464,$380.00,469,$380.00,476,$380.00,468,$380.00,436,$390.00,452,$390.00,467,$390.00,464,$395.00,460,$395.00,447,$400.00,452,$400.00,469,$400.00,490,$400.00,460,$400.00,475,$400.00,493,$400.00,512,$400.00,561,$400.00,570,$410.00,541,$410.00,553,$420.00,552,$420.00,543,$420.00,558,$420.00,552,$435.00,539,$440.00,525,$440.00,555,$441.00,548,$440.00,562,$445.00,581,$450.00,580,$450.00,605,$450.00,586,$450.00,593,$450.00,606,$450.00,434,$510.00
,Wantirna-Scoresby,689,$340.00,687,$350.00,680,$350.00,693,$350.00,692,$360.00,703,$355.00,723,$360.00,772,$360.00,807,$365.00,810,$365.00,841,$365.00,821,$370.00,809,$370.00,836,$370.00,816,$373.00,801,$375.00,808,$380.00,797,$380.00,827,$380.00,838,$380.00,872,$390.00,896,$395.00,934,$395.00,"1,054",$400.00,"1,085",$400.00,"1,124",$400.00,"1,158",$400.00,"1,107",$400.00,"1,126",$410.00,"1,166",$420.00,"1,176",$420.00,"1,185",$430.00,"1,174",$430.00,"1,179",$430.00,"1,157",$440.00,"1,180",$440.00,"1,223",$449.00,"1,197",$440.00,"1,200",$440.00,"1,194",$440.00,"1,036",$490.00
,Yarra Ranges,"1,175",$285.00,"1,174",$290.00,"1,192",$295.00,"1,173",$300.00,"1,135",$310.00,"1,141",$310.00,"1,132",$320.00,"1,164",$320.00,"1,265",$320.00,"1,275",$320.00,"1,297",$320.00,"1,286",$320.00,"1,222",$330.00,"1,210",$325.00,"1,194",$330.00,"1,186",$330.00,"1,172",$330.00,"1,157",$330.00,"1,145",$335.00,"1,192",$340.00,"1,179",$340.00,"1,169",$350.00,"1,147",$350.00,"1,063",$350.00,"1,094",$350.00,"1,097",$350.00,"1,082",$350.00,"1,081",$355.00,"1,069",$360.00,"1,075",$370.00,"1,068",$370.00,"1,058",$375.00,"1,033",$380.00,985,$380.00,948,$385.00,933,$390.00,904,$390.00,900,$395.00,937,$400.00,945,$400.00,728,$478.00
,Group Total,"6,838",$310.00,"6,869",$315.00,"6,980",$320.00,"7,095",$320.00,"7,195",$330.00,"7,178",$330.00,"7,362",$335.00,"7,504",$340.00,"7,689",$340.00,"7,899",$340.00,"8,007",$340.00,"7,997",$340.00,"7,883",$340.00,"7,953",$340.00,"7,915",$340.00,"7,995",$350.00,"8,037",$350.00,"7,889",$350.00,"7,850",$350.00,"7,932",$350.00,"7,984",$360.00,"8,118",$360.00,"8,307",$360.00,"8,413",$365.00,"8,609",$370.00,"8,785",$370.00,"8,844",$375.00,"8,885",$380.00,"8,963",$380.00,"9,052",$380.00,"9,041",$390.00,"9,103",$390.00,"9,027",$395.00,"8,947",$400.00,"8,867",$400.00,"8,801",$400.00,"8,918",$400.00,"8,903",$400.00,"9,050",$407.00,"9,098",$410.00,"7,516",$460.00
