Unnamed: 0,Unnamed: 1,Mar 2010,Unnamed: 83,Jun 2010,Unnamed: 85,Sep 2010,Unnamed: 87,Dec 2010,Unnamed: 89,Mar 2011,Unnamed: 91,Jun 2011,Unnamed: 93,Sep 2011,Unnamed: 95,Dec 2011,Unnamed: 97,Mar 2012,Unnamed: 99,Jun 2012,Unnamed: 101,Sep 2012,Unnamed: 103,Dec 2012,Unnamed: 105,Mar 2013,Unnamed: 107,Jun 2013,Unnamed: 109,Sep 2013,Unnamed: 111,Dec 2013,Unnamed: 113,Mar 2014,Unnamed: 115,Jun 2014,Unnamed: 117,Sep 2014,Unnamed: 119,Dec 2014,Unnamed: 121,Mar 2015,Unnamed: 123,Jun 2015,Unnamed: 125,Sep 2015,Unnamed: 127,Dec 2015,Unnamed: 129,Mar 2016,Unnamed: 131,Jun 2016,Unnamed: 133,Sep 2016,Unnamed: 135,Dec 2016,Unnamed: 137,Mar 2017,Unnamed: 139,Jun 2017,Unnamed: 141,Sep 2017,Unnamed: 143,Dec 2017,Unnamed: 145,Mar 2018,Unnamed: 147,Jun 2018,Unnamed: 149,Sep 2018,Unnamed: 151,Dec 2018,Unnamed: 153,Mar 2019,Unnamed: 155,Jun 2019,Unnamed: 157,Sep 2019,Unnamed: 159,Dec 2019,Unnamed: 161,Mar 2023,Unnamed: 187
Ballarat,Ballarat,"1,861",$225.00,"1,871",$230.00,"1,894",$230.00,"1,893",$235.00,"1,866",$240.00,"1,864",$240.00,"1,885",$245.00,"1,875",$250.00,"1,795",$250.00,"1,835",$250.00,"1,862",$250.00,"1,918",$260.00,"2,004",$260.00,"1,979",$260.00,"1,984",$260.00,"1,949",$260.00,"1,985",$260.00,"2,004",$260.00,"1,964",$260.00,"2,002",$265.00,"1,930",$265.00,"1,919",$265.00,"1,996",$265.00,"2,009",$265.00,"2,087",$265.00,"2,136",$265.00,"2,127",$265.00,"2,047",$270.00,"1,976",$270.00,"1,932",$275.00,"1,867",$275.00,"1,899",$280.00,"1,930",$280.00,"1,873",$285.00,"1,824",$290.00,"1,821",$295.00,"1,715",$300.00,"1,735",$310.00,"1,779",$310.00,"1,745",$310.00,"1,492",$360.00
,Mount Clear-Buninyong,318,$250.00,312,$250.00,282,$260.00,287,$260.00,287,$275.00,313,$280.00,337,$280.00,325,$285.00,405,$300.00,413,$300.00,414,$300.00,431,$300.00,365,$290.00,358,$290.00,364,$290.00,369,$295.00,371,$300.00,371,$300.00,377,$300.00,370,$300.00,347,$300.00,352,$300.00,338,$300.00,335,$300.00,339,$310.00,338,$320.00,346,$318.00,338,$310.00,321,$310.00,328,$310.00,326,$310.00,311,$315.00,308,$320.00,286,$325.00,267,$330.00,274,$333.00,268,$330.00,259,$340.00,271,$340.00,257,$350.00,198,$373.00
,Sebastopol-Delacombe,593,$210.00,600,$220.00,620,$220.00,647,$220.00,633,$230.00,647,$230.00,654,$240.00,675,$245.00,735,$250.00,753,$250.00,777,$250.00,784,$250.00,776,$250.00,796,$250.00,787,$250.00,813,$255.00,852,$260.00,899,$260.00,961,$260.00,956,$260.00,976,$260.00,973,$260.00,969,$255.00,981,$255.00,971,$250.00,995,$255.00,993,$255.00,966,$255.00,940,$260.00,898,$255.00,854,$260.00,867,$265.00,874,$270.00,855,$275.00,864,$280.00,827,$280.00,818,$280.00,818,$290.00,816,$290.00,872,$300.00,"1,055",$390.00
,Wendouree-Alfredton,935,$230.00,890,$240.00,870,$240.00,899,$250.00,931,$250.00,948,$260.00,970,$260.00,995,$270.00,979,$270.00,"1,050",$270.00,"1,086",$265.00,"1,110",$270.00,"1,164",$270.00,"1,194",$275.00,"1,256",$279.00,"1,234",$280.00,"1,259",$280.00,"1,251",$280.00,"1,239",$280.00,"1,303",$280.00,"1,302",$280.00,"1,326",$280.00,"1,310",$285.00,"1,304",$285.00,"1,299",$285.00,"1,303",$290.00,"1,321",$290.00,"1,349",$290.00,"1,358",$290.00,"1,355",$295.00,"1,354",$295.00,"1,310",$295.00,"1,315",$300.00,"1,277",$300.00,"1,261",$309.00,"1,236",$310.00,"1,238",$320.00,"1,235",$320.00,"1,250",$330.00,"1,296",$330.00,"1,396",$400.00
,Group Total,"3,707",$225.00,"3,673",$230.00,"3,666",$230.00,"3,726",$240.00,"3,717",$240.00,"3,772",$250.00,"3,846",$250.00,"3,870",$250.00,"3,914",$260.00,"4,051",$260.00,"4,139",$260.00,"4,243",$260.00,"4,309",$260.00,"4,327",$260.00,"4,391",$265.00,"4,365",$264.00,"4,467",$265.00,"4,525",$270.00,"4,541",$270.00,"4,631",$270.00,"4,555",$270.00,"4,570",$270.00,"4,613",$270.00,"4,629",$270.00,"4,696",$270.00,"4,772",$270.00,"4,787",$270.00,"4,700",$270.00,"4,595",$275.00,"4,513",$280.00,"4,401",$280.00,"4,387",$280.00,"4,427",$285.00,"4,291",$290.00,"4,216",$295.00,"4,158",$300.00,"4,039",$300.00,"4,047",$310.00,"4,116",$310.00,"4,170",$320.00,"4,141",$380.00
