Unnamed: 0,Unnamed: 1,Mar 2010,Unnamed: 83,Jun 2010,Unnamed: 85,Sep 2010,Unnamed: 87,Dec 2010,Unnamed: 89,Mar 2011,Unnamed: 91,Jun 2011,Unnamed: 93,Sep 2011,Unnamed: 95,Dec 2011,Unnamed: 97,Mar 2012,Unnamed: 99,Jun 2012,Unnamed: 101,Sep 2012,Unnamed: 103,Dec 2012,Unnamed: 105,Mar 2013,Unnamed: 107,Jun 2013,Unnamed: 109,Sep 2013,Unnamed: 111,Dec 2013,Unnamed: 113,Mar 2014,Unnamed: 115,Jun 2014,Unnamed: 117,Sep 2014,Unnamed: 119,Dec 2014,Unnamed: 121,Mar 2015,Unnamed: 123,Jun 2015,Unnamed: 125,Sep 2015,Unnamed: 127,Dec 2015,Unnamed: 129,Mar 2016,Unnamed: 131,Jun 2016,Unnamed: 133,Sep 2016,Unnamed: 135,Dec 2016,Unnamed: 137,Mar 2017,Unnamed: 139,Jun 2017,Unnamed: 141,Sep 2017,Unnamed: 143,Dec 2017,Unnamed: 145,Mar 2018,Unnamed: 147,Jun 2018,Unnamed: 149,Sep 2018,Unnamed: 151,Dec 2018,Unnamed: 153,Mar 2019,Unnamed: 155,Jun 2019,Unnamed: 157,Sep 2019,Unnamed: 159,Dec 2019,Unnamed: 161,Mar 2023,Unnamed: 187
Mornington Peninsula,Dromana-Portsea,"1,658",$260.00,"1,661",$265.00,"1,653",$270.00,"1,624",$280.00,"1,646",$280.00,"1,615",$290.00,"1,674",$290.00,"1,732",$290.00,"1,775",$290.00,"1,809",$290.00,"1,767",$295.00,"1,848",$300.00,"1,896",$300.00,"1,961",$300.00,"1,961",$300.00,"1,952",$300.00,"1,924",$300.00,"1,908",$310.00,"1,948",$310.00,"1,951",$320.00,"1,937",$320.00,"1,930",$320.00,"1,964",$325.00,"1,903",$330.00,"1,908",$330.00,"1,907",$340.00,"1,882",$340.00,"1,911",$350.00,"1,915",$350.00,"1,907",$360.00,"1,911",$360.00,"1,939",$370.00,"1,964",$370.00,"2,017",$375.00,"2,008",$375.00,"1,957",$380.00,"1,947",$380.00,"1,902",$380.00,"1,917",$385.00,"1,964",$385.00,"1,536",$520.00
,Frankston,"2,704",$265.00,"2,746",$270.00,"2,760",$280.00,"2,762",$281.00,"2,700",$290.00,"2,684",$290.00,"2,637",$295.00,"2,672",$295.00,"2,796",$295.00,"2,804",$295.00,"2,832",$295.00,"2,812",$300.00,"2,740",$300.00,"2,779",$300.00,"2,756",$300.00,"2,808",$300.00,"2,831",$300.00,"2,866",$300.00,"2,908",$305.00,"2,924",$310.00,"2,943",$310.00,"2,895",$310.00,"2,858",$320.00,"2,790",$320.00,"2,817",$325.00,"2,839",$330.00,"2,842",$330.00,"2,802",$330.00,"2,730",$335.00,"2,707",$340.00,"2,762",$348.00,"2,863",$350.00,"2,894",$350.00,"2,883",$355.00,"2,841",$360.00,"2,718",$360.00,"2,683",$360.00,"2,650",$360.00,"2,670",$360.00,"2,757",$365.00,"2,056",$450.00
,Hastings-Flinders,958,$270.00,961,$275.00,976,$280.00,959,$280.00,929,$290.00,964,$300.00,989,$300.00,"1,035",$300.00,"1,101",$300.00,"1,083",$300.00,"1,093",$300.00,"1,119",$300.00,"1,124",$300.00,"1,114",$300.00,"1,123",$300.00,"1,126",$301.00,"1,104",$310.00,"1,134",$313.00,"1,112",$320.00,"1,112",$320.00,"1,105",$320.00,"1,093",$320.00,"1,074",$320.00,"1,009",$325.00,988,$330.00,955,$340.00,934,$340.00,934,$340.00,908,$350.00,910,$350.00,908,$360.00,881,$360.00,840,$370.00,794,$370.00,794,$375.00,801,$375.00,822,$380.00,834,$385.00,816,$390.00,826,$395.00,694,$500.00
,Mt Eliza-Mornington-Mt Martha,"1,371",$330.00,"1,366",$340.00,"1,316",$350.00,"1,307",$350.00,"1,284",$360.00,"1,277",$360.00,"1,299",$370.00,"1,284",$370.00,"1,298",$370.00,"1,352",$370.00,"1,387",$375.00,"1,448",$380.00,"1,470",$380.00,"1,472",$380.00,"1,503",$390.00,"1,474",$390.00,"1,468",$390.00,"1,453",$390.00,"1,439",$395.00,"1,423",$400.00,"1,397",$400.00,"1,358",$408.00,"1,323",$410.00,"1,334",$420.00,"1,329",$420.00,"1,350",$425.00,"1,366",$425.00,"1,357",$430.00,"1,358",$450.00,"1,352",$450.00,"1,324",$450.00,"1,311",$450.00,"1,291",$450.00,"1,276",$460.00,"1,273",$460.00,"1,220",$480.00,"1,221",$480.00,"1,210",$490.00,"1,239",$490.00,"1,296",$480.00,"1,044",$600.00
,Seaford-Carrum Downs,"1,514",$280.00,"1,500",$285.00,"1,510",$290.00,"1,509",$295.00,"1,541",$300.00,"1,637",$300.00,"1,776",$310.00,"1,866",$310.00,"1,896",$310.00,"1,866",$310.00,"1,808",$310.00,"1,818",$310.00,"1,856",$315.00,"1,948",$315.00,"1,957",$320.00,"1,986",$320.00,"1,983",$320.00,"1,910",$320.00,"1,883",$320.00,"1,845",$320.00,"1,769",$325.00,"1,745",$330.00,"1,712",$330.00,"1,679",$330.00,"1,677",$340.00,"1,653",$340.00,"1,638",$345.00,"1,686",$350.00,"1,719",$350.00,"1,757",$350.00,"1,815",$355.00,"1,772",$360.00,"1,761",$360.00,"1,769",$365.00,"1,751",$370.00,"1,828",$370.00,"1,833",$370.00,"1,832",$370.00,"1,839",$370.00,"1,772",$370.00,"1,436",$450.00
,Group Total,"8,205",$275.00,"8,234",$280.00,"8,215",$290.00,"8,161",$295.00,"8,100",$300.00,"8,177",$300.00,"8,375",$300.00,"8,589",$305.00,"8,866",$310.00,"8,914",$310.00,"8,887",$310.00,"9,045",$310.00,"9,086",$310.00,"9,274",$310.00,"9,300",$315.00,"9,346",$315.00,"9,310",$320.00,"9,271",$320.00,"9,290",$320.00,"9,255",$325.00,"9,151",$325.00,"9,021",$330.00,"8,931",$330.00,"8,715",$335.00,"8,719",$340.00,"8,704",$345.00,"8,662",$350.00,"8,690",$350.00,"8,630",$350.00,"8,633",$360.00,"8,720",$360.00,"8,766",$370.00,"8,750",$370.00,"8,739",$375.00,"8,667",$380.00,"8,524",$380.00,"8,506",$380.00,"8,428",$380.00,"8,481",$385.00,"8,615",$385.00,"6,766",$485.00
