Unnamed: 0,Unnamed: 1,Mar 2010,Unnamed: 83,Jun 2010,Unnamed: 85,Sep 2010,Unnamed: 87,Dec 2010,Unnamed: 89,Mar 2011,Unnamed: 91,Jun 2011,Unnamed: 93,Sep 2011,Unnamed: 95,Dec 2011,Unnamed: 97,Mar 2012,Unnamed: 99,Jun 2012,Unnamed: 101,Sep 2012,Unnamed: 103,Dec 2012,Unnamed: 105,Mar 2013,Unnamed: 107,Jun 2013,Unnamed: 109,Sep 2013,Unnamed: 111,Dec 2013,Unnamed: 113,Mar 2014,Unnamed: 115,Jun 2014,Unnamed: 117,Sep 2014,Unnamed: 119,Dec 2014,Unnamed: 121,Mar 2015,Unnamed: 123,Jun 2015,Unnamed: 125,Sep 2015,Unnamed: 127,Dec 2015,Unnamed: 129,Mar 2016,Unnamed: 131,Jun 2016,Unnamed: 133,Sep 2016,Unnamed: 135,Dec 2016,Unnamed: 137,Mar 2017,Unnamed: 139,Jun 2017,Unnamed: 141,Sep 2017,Unnamed: 143,Dec 2017,Unnamed: 145,Mar 2018,Unnamed: 147,Jun 2018,Unnamed: 149,Sep 2018,Unnamed: 151,Dec 2018,Unnamed: 153,Mar 2019,Unnamed: 155,Jun 2019,Unnamed: 157,Sep 2019,Unnamed: 159,Dec 2019,Unnamed: 161,Mar 2023,Unnamed: 187
Bendigo,Bendigo,603,$230.00,575,$231.00,598,$240.00,584,$240.00,572,$250.00,563,$255.00,559,$260.00,551,$260.00,565,$265.00,551,$265.00,529,$275.00,555,$275.00,541,$275.00,555,$275.00,572,$273.00,584,$270.00,576,$270.00,598,$275.00,601,$270.00,595,$275.00,597,$280.00,570,$280.00,549,$275.00,530,$280.00,528,$275.00,540,$270.00,607,$270.00,622,$270.00,641,$275.00,644,$275.00,598,$280.00,596,$280.00,571,$280.00,578,$280.00,570,$290.00,557,$300.00,546,$300.00,522,$305.00,513,$310.00,500,$320.00,398,$383.00
,Flora Hill-Bendigo East,"1,125",$235.00,"1,090",$240.00,"1,084",$240.00,"1,109",$250.00,"1,121",$250.00,"1,136",$260.00,"1,109",$260.00,"1,096",$270.00,"1,074",$275.00,"1,098",$280.00,"1,145",$275.00,"1,174",$270.00,"1,238",$275.00,"1,254",$270.00,"1,284",$275.00,"1,287",$280.00,"1,299",$280.00,"1,288",$280.00,"1,273",$280.00,"1,306",$275.00,"1,290",$275.00,"1,288",$275.00,"1,308",$270.00,"1,271",$275.00,"1,267",$270.00,"1,294",$270.00,"1,270",$275.00,"1,260",$280.00,"1,269",$280.00,"1,239",$280.00,"1,232",$280.00,"1,219",$285.00,"1,165",$290.00,"1,150",$290.00,"1,126",$290.00,"1,085",$295.00,"1,049",$295.00,"1,039",$300.00,"1,032",$300.00,"1,044",$300.00,827,$390.00
,Golden Square-Kangaroo Flat,548,$230.00,558,$230.00,579,$240.00,625,$243.00,650,$250.00,645,$250.00,667,$260.00,678,$265.00,674,$270.00,698,$270.00,696,$280.00,668,$280.00,687,$280.00,698,$280.00,731,$280.00,734,$280.00,747,$280.00,775,$280.00,761,$280.00,768,$280.00,770,$280.00,769,$280.00,808,$280.00,823,$280.00,797,$280.00,776,$275.00,730,$280.00,693,$280.00,704,$280.00,709,$280.00,699,$285.00,706,$285.00,682,$290.00,656,$295.00,671,$300.00,632,$300.00,615,$300.00,627,$300.00,582,$310.00,624,$310.00,522,$400.00
,North Bendigo,676,$225.00,693,$230.00,699,$230.00,683,$240.00,693,$240.00,699,$250.00,712,$250.00,745,$260.00,769,$260.00,825,$270.00,916,$270.00,950,$275.00,978,$280.00,"1,070",$280.00,"1,118",$280.00,"1,186",$285.00,"1,225",$280.00,"1,194",$280.00,"1,184",$280.00,"1,167",$275.00,"1,199",$280.00,"1,225",$280.00,"1,244",$279.00,"1,251",$280.00,"1,248",$280.00,"1,230",$280.00,"1,186",$280.00,"1,174",$280.00,"1,140",$280.00,"1,088",$283.00,"1,055",$280.00,"1,038",$280.00,"1,019",$285.00,"1,014",$290.00,998,$290.00,971,$295.00,953,$300.00,920,$300.00,885,$300.00,861,$305.00,879,$400.00
,Group Total,"2,952",$230.00,"2,916",$230.00,"2,960",$240.00,"3,001",$241.00,"3,036",$250.00,"3,043",$250.00,"3,047",$260.00,"3,070",$260.00,"3,082",$270.00,"3,172",$270.00,"3,286",$275.00,"3,347",$275.00,"3,444",$280.00,"3,577",$280.00,"3,705",$280.00,"3,791",$280.00,"3,847",$280.00,"3,855",$280.00,"3,819",$280.00,"3,836",$280.00,"3,856",$280.00,"3,852",$280.00,"3,909",$280.00,"3,875",$280.00,"3,840",$275.00,"3,840",$275.00,"3,793",$280.00,"3,749",$280.00,"3,754",$280.00,"3,680",$280.00,"3,584",$280.00,"3,559",$280.00,"3,437",$285.00,"3,398",$290.00,"3,365",$290.00,"3,245",$300.00,"3,163",$300.00,"3,108",$300.00,"3,012",$300.00,"3,029",$310.00,"2,626",$400.00
