Unnamed: 0,Unnamed: 1,Mar 2010,Unnamed: 83,Jun 2010,Unnamed: 85,Sep 2010,Unnamed: 87,Dec 2010,Unnamed: 89,Mar 2011,Unnamed: 91,Jun 2011,Unnamed: 93,Sep 2011,Unnamed: 95,Dec 2011,Unnamed: 97,Mar 2012,Unnamed: 99,Jun 2012,Unnamed: 101,Sep 2012,Unnamed: 103,Dec 2012,Unnamed: 105,Mar 2013,Unnamed: 107,Jun 2013,Unnamed: 109,Sep 2013,Unnamed: 111,Dec 2013,Unnamed: 113,Mar 2014,Unnamed: 115,Jun 2014,Unnamed: 117,Sep 2014,Unnamed: 119,Dec 2014,Unnamed: 121,Mar 2015,Unnamed: 123,Jun 2015,Unnamed: 125,Sep 2015,Unnamed: 127,Dec 2015,Unnamed: 129,Mar 2016,Unnamed: 131,Jun 2016,Unnamed: 133,Sep 2016,Unnamed: 135,Dec 2016,Unnamed: 137,Mar 2017,Unnamed: 139,Jun 2017,Unnamed: 141,Sep 2017,Unnamed: 143,Dec 2017,Unnamed: 145,Mar 2018,Unnamed: 147,Jun 2018,Unnamed: 149,Sep 2018,Unnamed: 151,Dec 2018,Unnamed: 153,Mar 2019,Unnamed: 155,Jun 2019,Unnamed: 157,Sep 2019,Unnamed: 159,Dec 2019,Unnamed: 161,Mar 2023,Unnamed: 187
Geelong,Belmont-Grovedale,"1,558",$270.00,"1,530",$275.00,"1,529",$280.00,"1,521",$290.00,"1,516",$300.00,"1,539",$300.00,"1,542",$305.00,"1,567",$310.00,"1,632",$310.00,"1,592",$315.00,"1,623",$320.00,"1,654",$320.00,"1,714",$325.00,"1,785",$325.00,"1,851",$320.00,"1,858",$320.00,"1,880",$320.00,"1,914",$320.00,"1,882",$320.00,"1,922",$330.00,"1,899",$330.00,"1,882",$330.00,"1,915",$330.00,"1,952",$330.00,"1,984",$330.00,"1,991",$335.00,"1,917",$340.00,"1,916",$340.00,"1,923",$350.00,"1,961",$350.00,"2,029",$350.00,"2,088",$350.00,"2,065",$360.00,"2,014",$360.00,"1,966",$365.00,"1,866",$370.00,"1,790",$375.00,"1,786",$380.00,"1,884",$380.00,"1,931",$380.00,"1,849",$450.00
,Corio,628,$210.00,672,$210.00,725,$220.00,718,$225.00,715,$230.00,714,$230.00,710,$240.00,727,$240.00,746,$240.00,755,$245.00,760,$250.00,770,$250.00,791,$250.00,791,$250.00,785,$250.00,775,$250.00,791,$250.00,805,$250.00,821,$250.00,838,$250.00,824,$250.00,843,$250.00,846,$250.00,838,$250.00,835,$250.00,859,$250.00,897,$250.00,929,$250.00,925,$250.00,906,$255.00,939,$260.00,956,$260.00,983,$265.00,963,$270.00,925,$275.00,892,$280.00,872,$280.00,861,$285.00,817,$290.00,786,$295.00,745,$350.00
,Geelong-Newcombe,992,$250.00,974,$260.00,988,$270.00,"1,036",$270.00,"1,055",$280.00,"1,068",$280.00,"1,114",$290.00,"1,111",$290.00,"1,172",$290.00,"1,206",$290.00,"1,180",$290.00,"1,240",$290.00,"1,251",$295.00,"1,285",$295.00,"1,330",$295.00,"1,352",$295.00,"1,375",$300.00,"1,373",$300.00,"1,335",$300.00,"1,332",$300.00,"1,305",$300.00,"1,301",$300.00,"1,334",$300.00,"1,336",$300.00,"1,339",$300.00,"1,352",$310.00,"1,358",$310.00,"1,347",$310.00,"1,399",$310.00,"1,409",$310.00,"1,377",$320.00,"1,374",$320.00,"1,360",$320.00,"1,323",$325.00,"1,342",$330.00,"1,336",$330.00,"1,282",$340.00,"1,263",$340.00,"1,244",$350.00,"1,225",$350.00,"1,195",$425.00
,Herne Hill-Geelong West,758,$245.00,749,$250.00,717,$250.00,710,$260.00,717,$270.00,741,$270.00,762,$275.00,767,$270.00,792,$275.00,801,$280.00,812,$285.00,801,$290.00,812,$290.00,816,$290.00,794,$285.00,821,$290.00,836,$290.00,796,$298.00,814,$295.00,785,$295.00,780,$293.00,810,$290.00,830,$290.00,858,$290.00,863,$295.00,862,$300.00,856,$300.00,852,$300.00,816,$320.00,824,$320.00,790,$323.00,784,$328.00,788,$325.00,753,$325.00,740,$330.00,756,$335.00,722,$350.00,710,$350.00,734,$350.00,725,$360.00,684,$420.00
,Lara,317,$270.00,314,$273.00,335,$280.00,349,$285.00,395,$290.00,401,$300.00,409,$300.00,424,$303.00,437,$305.00,450,$320.00,456,$320.00,443,$320.00,434,$325.00,434,$325.00,425,$325.00,451,$325.00,454,$323.00,460,$320.00,460,$320.00,465,$325.00,449,$325.00,452,$325.00,451,$330.00,445,$330.00,425,$330.00,425,$335.00,421,$340.00,402,$340.00,392,$340.00,384,$350.00,379,$350.00,392,$360.00,409,$360.00,390,$363.00,394,$380.00,396,$380.00,410,$385.00,434,$390.00,460,$390.00,468,$390.00,434,$485.00
,Newtown,477,$270.00,465,$270.00,437,$275.00,428,$280.00,417,$285.00,442,$300.00,445,$300.00,458,$306.00,481,$310.00,458,$300.00,449,$300.00,472,$308.00,450,$300.00,456,$310.00,459,$305.00,435,$305.00,425,$310.00,436,$310.00,440,$315.00,459,$320.00,453,$320.00,453,$320.00,464,$320.00,457,$320.00,478,$320.00,480,$320.00,491,$330.00,478,$340.00,468,$350.00,455,$350.00,451,$350.00,437,$350.00,413,$350.00,392,$360.00,391,$360.00,371,$375.00,365,$375.00,390,$380.00,395,$380.00,397,$380.00,285,$450.00
,North Geelong,596,$250.00,596,$260.00,623,$265.00,633,$270.00,643,$275.00,652,$275.00,646,$280.00,656,$285.00,673,$295.00,691,$300.00,680,$295.00,652,$300.00,675,$295.00,692,$295.00,739,$295.00,755,$295.00,740,$295.00,754,$300.00,758,$300.00,817,$300.00,824,$300.00,795,$310.00,794,$310.00,767,$310.00,795,$310.00,818,$310.00,834,$310.00,853,$310.00,820,$315.00,829,$320.00,808,$323.00,786,$330.00,797,$332.00,815,$340.00,827,$340.00,842,$340.00,850,$345.00,837,$350.00,804,$350.00,799,$350.00,714,$430.00
,Group Total,"5,326",$250.00,"5,300",$260.00,"5,354",$260.00,"5,395",$270.00,"5,458",$275.00,"5,557",$280.00,"5,628",$280.00,"5,710",$285.00,"5,933",$290.00,"5,953",$290.00,"5,960",$292.00,"6,032",$295.00,"6,127",$295.00,"6,259",$295.00,"6,383",$295.00,"6,447",$300.00,"6,501",$300.00,"6,538",$300.00,"6,510",$300.00,"6,618",$300.00,"6,534",$300.00,"6,536",$300.00,"6,634",$300.00,"6,653",$300.00,"6,719",$300.00,"6,787",$310.00,"6,774",$310.00,"6,777",$310.00,"6,743",$315.00,"6,768",$320.00,"6,773",$320.00,"6,817",$325.00,"6,815",$330.00,"6,650",$330.00,"6,585",$340.00,"6,459",$340.00,"6,291",$350.00,"6,281",$350.00,"6,338",$350.00,"6,331",$355.00,"5,906",$425.00
